0,1,2,3,4,5
DB12704,0.9972487092018127,Spiradoline,,[H][C@@]1(CC[C@@]2(CCCO2)C[C@]1([H])N1CCCC1)N(C)C(=O)CC1=CC(Cl)=C(Cl)C=C1,-7.9
DB11785,0.9972376823425293,Anisodamine,,CN1[C@@H]2C[C@H](O)[C@H]1C[C@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,-8.6
DB06618,0.9972375631332397,Cutamesine,,COC1=C(OC)C=C(CCN2CCN(CCCC3=CC=CC=C3)CC2)C=C1,-6.6
DB05137,0.997232973575592,Lobeline,,CN1[C@H](C[C@H](O)C2=CC=CC=C2)CCC[C@@H]1CC(=O)C1=CC=CC=C1,-9.8
DB12110,0.9972321391105652,m-Chlorophenylpiperazine,,ClC1=CC(=CC=C1)N1CCNCC1,-7.2
DB00192,0.9972248077392578,Indecainide,,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,-6.9
DB11584,0.9972050786018372,Pipradrol,,[H]N1CCCCC1C(O)(C1=CC=CC=C1)C1=CC=CC=C1,-9.3
DB12890,0.9971997737884521,Dihydrexidine,,OC1=C(O)C=C2[C@H]3[C@H](CCC2=C1)NCC1=CC=CC=C31,-10.8
DB11278,0.9971848130226135,DL-Methylephedrine,,C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,-6.7
DB00405,0.9971762895584106,Dexbrompheniramine,,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,-7.9
DB01579,0.9971678853034973,Phendimetrazine,,C[C@H]1[C@@H](OCCN1C)C1=CC=CC=C1,-7.6
DB06706,0.9971655011177063,Isometheptene,,CNC(C)CCC=C(C)C,-5.5
DB06174,0.9971392154693604,Noscapine,,[H][C@@]1(OC(=O)C2=C1C=CC(OC)=C2OC)[C@]1([H])N(C)CCC2=CC3=C(OCO3)C(OC)=C12,-7.5
DB11541,0.9971319437026978,Ractopamine,,CC(CCC1=CC=C(O)C=C1)NCC(O)C1=CC=C(O)C=C1,-9.2
DB01288,0.9971210360527039,Fenoterol,,CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1,-8.3
DB09088,0.9971025586128235,Amylocaine,,CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1,-5.5
DB14066,0.9970954656600952,Tetrandrine,,COC1=CC=C2C[C@@H]3N(C)CCC4=C3C(OC3=CC5=C(CCN(C)[C@H]5CC5=CC=C(OC1=C2)C=C5)C=C3OC)=C(OC)C(OC)=C4,-8.1
DB08653,0.9970642924308777,Tryptamine,,NCCC1=CNC2=CC=CC=C12,-7.0
DB07110,0.9970631003379822,4-(4-FLUOROBENZYL)PIPERIDINE,,FC1=CC=C(CC2CCNCC2)C=C1,-7.6
DB12161,0.9970585107803345,Deutetrabenazine,,[2H]C([2H])([2H])OC1=CC2=C(C=C1OC([2H])([2H])[2H])[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,-6.4
DB07346,0.9970470070838928,4-(2-aminoethyl)-2-ethylphenol,,CCC1=CC(CCN)=CC=C1O,-6.7
DB07353,0.9970309734344482,"4-(2,5-DIAMINO-5-HYDROXY-PENTYL)-PHENOL",,[H][C@](N)(O)CC[C@@]([H])(N)CC1=CC=C(O)C=C1,-7.3
DB09224,0.9970163106918335,Melperone,,CC1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1,-8.3
DB00424,0.9970121383666992,Hyoscyamine,,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,-9.0
DB04556,0.9970077872276306,NAP-226-90,,C[C@H](N(C)C)C1=CC(O)=CC=C1,-6.4
DB07701,0.9969828724861145,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",,[H][C@@]1(CC2CCN(CC3=CC=CC=C3)CC2)CC2=CC(OC)=C(OC)C=C2C1=O,-9.3
DB16351,0.9969797730445862,Volinanserin,,COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1,-7.0
DB00449,0.9969525337219238,Dipivefrin,,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1,-5.9
DB12220,0.9969268441200256,ORG-25935,,COC1=CC=C2[C@H]([C@@H](CN(C)CC(O)=O)CCC2=C1)C1=CC=CC=C1,-7.2
DB01182,0.9969052672386169,Propafenone,,CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1,-9.0
DB06374,0.9968871474266052,Elacestrant,,CCNCCC1=CC=C(CN(CC)C2=C(C=CC(OC)=C2)[C@@H]2CCC3=CC(O)=CC=C3C2)C=C1,-7.4
DB06691,0.9968851208686829,Mepyramine,,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,-7.6
DB07122,0.9968807697296143,1-[4-(2-oxo-2-phenylethyl)phenyl]guanidine,,NC(N)=NC1=CC=C(CC(=O)C2=CC=CC=C2)C=C1,-8.9
DB04365,0.9968758821487427,Arecoline,,COC(=O)C1=CCCN(C)C1,-5.7
DB00792,0.9968627691268921,Tripelennamine,,CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1,-8.1
DB00283,0.9968622922897339,Clemastine,,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,-6.9
DB04837,0.996861457824707,Clofedanol,,CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl,-6.0
DB01295,0.9968574047088623,Bevantolol,,COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1,-6.2
DB00422,0.9968401193618774,Methylphenidate,,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,-6.3
DB08824,0.9968274235725403,Ioflupane I-123,,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)C1=CC=C([123I])C=C1)C(=O)OC)N2CCCF,-6.1
DB01168,0.9968204498291016,Procarbazine,,CNNCC1=CC=C(C=C1)C(=O)NC(C)C,-7.5
