0,1,2,3,4,5
DB00715,2.7567255145299896e-08,Paroxetine,,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,-9.0
DB00182,2.616120653442522e-08,Amphetamine,,CC(N)CC1=CC=CC=C1,-5.9
DB07258,2.566645918022914e-08,(R)-pyridin-4-yl[4-(2-pyrrolidin-1-ylethoxy)phenyl]methanol,,[H][C@](O)(C1=CC=NC=C1)C1=CC=C(OCCN2CCCC2)C=C1,-7.8
DB01239,2.4989969205080342e-08,Chlorprothixene,,CN(C)CC\C=C1\C2=CC=CC=C2SC2=CC=C(Cl)C=C12,-8.3
DB00193,2.482062200215296e-08,Tramadol,,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,-7.4
DB00546,2.4303529855274064e-08,Adinazolam,,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,-7.7
DB00835,2.309872471073504e-08,Brompheniramine,,CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,-7.0
DB01160,2.300217616379996e-08,Dinoprost tromethamine,,NC(CO)(CO)CO.CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,-3.4
DB01149,2.290970257945446e-08,Nefazodone,,CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1,-7.8
DB13437,2.2419245127025533e-08,Medazepam,,CN1CCN=C(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2,-8.6
DB03499,2.2396550392045356e-08,D-Malic acid,,O[C@H](CC(O)=O)C(O)=O,-4.8
DB00292,2.1116278503541253e-08,Etomidate,,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,-6.6
DB03573,2.0040825887690517e-08,WRR-99,,[H][C@](O)(CC(O)=O)C(=O)N[C@]([H])(CCC1=CC=CC=C1)C(=O)NCCC(C)C,-7.5
DB03109,1.999599952284825e-08,2-acetylamino-2-deoxy-b-D-allopyranose,,[H]N([C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O)C(C)=O,-5.9
DB00770,1.983043951270247e-08,Alprostadil,,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,-6.6
DB07345,1.9177660348645986e-08,4-(2-aminoethyl)-2-cyclohexylphenol,,NCCC1=CC=C(O)C(=C1)C1CCCCC1,-7.6
DB01567,1.889301870505733e-08,Fludiazepam,,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,-9.0
DB00627,1.8489185293901755e-08,Niacin,,OC(=O)C1=CN=CC=C1,-5.2
DB09211,1.8277091839991044e-08,Limaprost,,CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O,-6.6
DB00671,1.6948614955936137e-08,Cefixime,,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC(O)=O)\C1=CSC(N)=N1)C(O)=O,-7.7
DB06819,1.6107586375824212e-08,Phenylbutyric acid,,OC(=O)CCCC1=CC=CC=C1,-6.2
DB01238,1.5451062651550274e-08,Aripiprazole,,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,-8.7
DB16315,1.5025008792690642e-08,Rivenprost,,COCC1=CC=CC(C[C@H](O)\C=C\[C@H]2[C@H](O)CC(=O)[C@@H]2CCSCCCC(=O)OC)=C1,-7.1
DB08231,1.4086664279489014e-08,Myristic acid,,CCCCCCCCCCCCCC(O)=O,-5.5
DB04256,1.3144096477901712e-08,(S)-alpha-methyl-4-carboxyphenylglycine,,C[C@@](N)(C(O)=O)C1=CC=C(C=C1)C(O)=O,-6.7
DB08410,1.3094975770400197e-08,PARA-NITROBENZYL GLUTARYL GLYCINIC ACID,,OC(=O)CNC(=O)CCCC(=O)NCC1=CC=C(C=C1)[N+]([O-])=O,-7.1
DB00917,1.3088758521462296e-08,Dinoprostone,,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,-6.6
DB08749,1.2825246642478305e-08,3-(2-AMINO-6-BENZOYLQUINAZOLIN-3(4H)-YL)-N-CYCLOHEXYL-N-METHYLPROPANAMIDE,,CN(C1CCCCC1)C(=O)CCN1CC2=CC(=CC=C2N=C1N)C(=O)C1=CC=CC=C1,-8.9
DB14028,1.1604758931582637e-08,Nordazepam,,ClC1=CC=C2NC(=O)CN=C(C3=CC=CC=C3)C2=C1,-8.7
DB11519,1.1223073137500705e-08,Fluprostenol,,[H]\C(CCCC(O)=O)=C(/[H])C[C@@]1([H])[C@@]([H])(O)C[C@@]([H])(O)[C@]1([H])C(\[H])=C(/[H])[C@@]([H])(O)COC1=CC=CC(=C1)C(F)(F)F,-8.2
DB05087,1.100192825731483e-08,Ganaxolone,,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C,-8.7
DB02955,1.0992238230755902e-08,Ricinoleic Acid,,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O,-5.4
DB01588,1.085019629698536e-08,Prazepam,,ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1,-8.6
DB04560,9.972207060116034e-09,"4,7-Dioxosebacic Acid",,OC(=O)CCC(=O)CCC(=O)CCC(O)=O,-6.0
DB00371,9.721657256989147e-09,Meprobamate,,CCCC(C)(COC(N)=O)COC(N)=O,-5.9
DB01647,9.710500847859294e-09,Daxalipram,,CCCOC1=CC(=CC=C1OC)[C@]1(C)CNC(=O)O1,-7.3
DB00333,9.512970855496405e-09,Methadone,,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,-6.4
DB12795,9.251291288592256e-09,CMX-2043,,C[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)CCCC[C@@H]1CCSS1)C(O)=O,-7.1
DB06148,8.43659719862444e-09,Mianserin,,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21,-9.1
DB11859,7.870690765798827e-09,Brexanolone,,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)=O,-8.3
DB00929,7.0629293524859804e-09,Misoprostol,,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,-6.5
DB01088,6.5434151430565635e-09,Iloprost,,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C\C(C2)=C\CCCC(O)=O,-7.8
DB11827,6.2896927666145075e-09,Ertugliflozin,,CCOC1=CC=C(CC2=CC(=CC=C2Cl)[C@]23OC[C@](CO)(O2)[C@@H](O)[C@H](O)[C@H]3O)C=C1,-8.7
DB04141,6.181276823724602e-09,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol",,[H][C@]1(O)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCC)[C@]1([H])O,-5.9
DB04946,4.455757540711147e-09,Iloperidone,,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O,-8.9
DB08180,4.414931087382001e-09,2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE,,CN(CCO[P@@](O)(=O)OP(O)(O)=O)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,-6.0
DB09020,4.128659192303985e-09,Bisacodyl,,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,-8.4
DB06246,4.0199941153673535e-09,Exisulind,,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)(=O)=O,-9.3
DB07736,3.946438287272258e-09,(2S)-4-(4-fluorobenzyl)-N-(2-sulfanylethyl)piperazine-2-carboxamide,,[H][C@]1(CN(CC2=CC=C(F)C=C2)CCN1)C(=O)NCCS,-7.2
DB07737,3.841059470488517e-09,(2S)-4-(4-fluorobenzyl)-N-(3-sulfanylpropyl)piperazine-2-carboxamide,,[H][C@]1(CN(CC2=CC=C(F)C=C2)CCN1)C(=O)NCCCS,-7.0
DB06216,2.586987291053333e-09,Asenapine,,CN1CC2C(C1)C1=C(OC3=CC=C(Cl)C=C23)C=CC=C1,-9.1
DB07110,1.3240764040745034e-09,4-(4-FLUOROBENZYL)PIPERIDINE,,FC1=CC=C(CC2CCNCC2)C=C1,-7.1
DB12847,7.628458420505524e-10,Pyroxamide,,ONC(=O)CCCCCCC(=O)NC1=CN=CC=C1,-7.0
DB03553,6.692237319860794e-10,Glutaric Acid,,OC(=O)CCCC(O)=O,-4.8
DB01954,5.40323064068815e-10,Rolipram,,COC1=C(OC2CCCC2)C=C(C=C1)C1CNC(=O)C1,-8.4
DB00690,4.694363786583722e-10,Flurazepam,,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,-8.4
DB07738,3.848140694984181e-10,"N-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",,COC1=C(OC)C(CN2CCC(CC2)NC(=O)CCCS)=CC(Br)=C1,-6.8
DB16305,3.506827606081231e-10,DEBIO-1143,,[H][C@]12CC[C@H](N1C(=O)[C@H](CN(CC2)C(=O)CC(C)C)NC(=O)[C@H](C)NC)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1,-7.8
DB07573,3.1789351706557056e-10,"(2S)-1-(2,5-dimethylphenoxy)-3-morpholin-4-ylpropan-2-ol",,[H][C@@](O)(COC1=C(C)C=CC(C)=C1)CN1CCOCC1,-7.7
DB12713,7.98627622367043e-11,Sotagliflozin,,CCOC1=CC=C(CC2=CC(=CC=C2Cl)[C@@H]2O[C@H](SC)[C@@H](O)[C@H](O)[C@H]2O)C=C1,-8.7
DB02546,7.417283454103085e-11,Vorinostat,,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,-6.7
DB00548,7.38061972649362e-11,Azelaic acid,,OC(=O)CCCCCCCC(O)=O,-5.2
