target,drug,label
Q16853,DB08174,0
Q16671,DB00171,1
O60391,DB00289,1
P31151,DB01146,0
P25788,DB05095,0
P37058,DB04601,0
P14780,DB00320,0
P16444,DB01551,0
Q14432,DB01223,1
Q96FL8,DB02462,0
P26439,DB00157,1
P09601,DB04468,0
P05181,DB00748,1
Q9GZT9,DB02466,0
Q16774,DB08895,0
P50052,DB01411,0
P16442,DB07633,1
Q9UNX9,DB00383,0
O60551,DB00619,0
Q9UBX1,DB01810,1
P22314,DB08895,0
P11717,DB02424,0
O14920,DB01169,1
P50052,DB07031,0
P33261,DB00738,1
O00555,DB02177,0
P08913,DB01820,0
Q14914,DB03461,1
Q06203,DB03650,0
Q9HCP0,DB01135,0
P51800,DB04629,0
P10632,DB01481,0
P23919,DB03233,1
Q9UNX9,DB06203,0
P11712,DB00904,1
P08908,DB08810,1
P08684,DB00759,1
P04746,DB01922,1
P49721,DB03542,0
P08684,DB08893,1
P05177,DB00468,1
Q7Z2H8,DB08609,0
Q05586,DB03929,1
Q13630,DB08042,0
Q04828,DB00945,1
Q9Y2D0,DB00433,0
Q9UKG9,DB01169,0
Q08499,DB06842,1
P36507,DB06209,0
P46439,DB00143,1
P22309,DB00328,1
P42574,DB03124,1
P24941,DB08137,1
P18858,DB01780,0
P11229,DB01142,1
Q8N119,DB08190,0
P13051,DB07116,1
Q9NS85,DB00887,0
Q8N5Z0,DB04908,0
P08684,DB01320,1
P10768,DB06984,0
P35348,DB00457,1
P17931,DB02877,0
Q9UP95,DB00761,1
P62942,DB01723,1
Q96KC2,DB06861,0
P18850,DB07609,0
Q99259,DB04365,0
P23141,DB01410,1
O60656,DB06741,1
P35913,DB03088,0
Q96A70,DB00125,1
P31327,DB07377,0
P13639,DB01126,0
P28845,DB07168,0
P35348,DB00420,1
P11766,DB04153,1
Q14432,DB01063,0
Q96MA6,DB01077,0
O14746,DB04948,0
O60603,DB05403,0
P28222,DB01238,1
Q14432,DB00623,0
Q99835,DB04009,0
P03372,DB00783,1
P04746,DB03088,1
Q9Y5Y9,DB07847,0
Q09470,DB01028,1
P23280,DB09028,0
P14416,DB06077,1
P49366,DB03639,1
P23141,DB00519,1
P10636,DB03201,0
P48735,DB01727,1
P11712,DB00503,1
P08684,DB00818,1
Q16795,DB03273,0
Q9UGI9,DB03814,0
Q08289,DB04840,0
P31153,DB08178,0
P31751,DB00458,0
P49821,DB00157,1
P08588,DB01064,1
P10275,DB05234,1
Q00169,DB03690,1
P20645,DB01255,0
O15379,DB06702,0
Q01082,DB03401,1
P49411,DB04796,0
P15336,DB03214,0
P04424,DB04783,0
P08473,DB02558,1
Q96SL4,DB03747,0
P23975,DB01151,1
P20815,DB00604,1
P05177,DB00297,1
P09211,DB00163,1
Q14957,DB07522,0
P51160,DB02118,0
P51161,DB02691,1
O15382,DB03128,0
P19883,DB07393,0
P05177,DB01191,1
P20823,DB08707,0
P51570,DB08750,0
P20309,DB08897,1
O43451,DB00491,1
P37231,DB07809,0
Q9NUB1,DB00281,0
Q8N1C3,DB01708,1
P07237,DB00745,0
P63208,DB06288,0
P23946,DB03297,1
P35462,DB04573,0
P11388,DB01204,1
P20813,DB04871,1
P22303,DB03740,1
P14867,DB00475,1
P00403,DB05412,1
Q9GZT9,DB07112,1
P00813,DB02616,1
Q96BH3,DB03945,1
P11217,DB01197,0
Q16873,DB07362,0
P11511,DB00882,1
P00742,DB07630,1
P00156,DB04799,1
O14965,DB01369,0
P00533,DB07226,0
P00749,DB03729,1
P51161,DB02393,0
P17612,DB08756,1
P10635,DB09570,1
P00797,DB04600,0
P51857,DB01090,0
P00326,DB06726,0
O60494,DB00382,0
Q13936,DB07202,0
Q96C36,DB02901,0
P10632,DB00836,1
P33151,DB02269,0
P01270,DB03981,0
Q96I15,DB00114,1
O43497,DB01388,1
P00491,DB04335,1
P62829,DB02494,1
P04070,DB00464,1
P80511,DB04391,0
Q9NQS7,DB08772,0
O75469,DB06403,0
P19429,DB07812,0
P00414,DB08125,0
P06276,DB00871,1
P27338,DB00182,1
P14867,DB00794,1
P22607,DB00983,0
P03372,DB04471,1
Q9Y5Y9,DB00281,1
Q00975,DB05034,0
P40261,DB07899,0
P35228,DB08814,1
P25100,DB01162,1
Q16772,DB00596,0
Q00653,DB01587,0
P19622,DB07561,0
P07477,DB04791,1
O15379,DB05223,1
P04062,DB04200,0
Q03426,DB03615,0
P28222,DB00413,1
P08684,DB08867,1
Q86W47,DB03608,0
O43837,DB07539,0
P08684,DB00289,1
P12821,DB00542,1
P19793,DB07863,1
P11712,DB00936,1
P49841,DB07676,1
Q99436,DB08515,1
Q9ULA0,DB07772,0
P20813,DB09054,1
P07900,DB08557,1
P08684,DB00520,1
Q8NG66,DB08912,1
Q13547,DB02933,0
P35348,DB00543,1
Q9UNI1,DB01177,0
P42898,DB08099,0
Q8N0U8,DB01126,0
P39086,DB08635,0
Q5JTZ9,DB01723,0
Q92952,DB04163,0
P00338,DB07733,0
P23219,DB01397,1
P16930,DB04648,0
P08217,DB02112,0
P07477,DB03159,1
A8MPY1,DB00231,1
P03897,DB01068,0
P05177,DB01058,1
Q13564,DB07763,0
O14717,DB00117,0
Q15822,DB01199,1
Q16134,DB03480,0
P55196,DB02670,0
Q9NYK1,DB04185,0
P69905,DB08077,1
Q08257,DB07538,0
P15538,DB00741,1
P47989,DB00127,1
P23219,DB01015,1
Q13224,DB07139,0
Q9UKV0,DB02984,0
P35498,DB00273,1
P10635,DB01035,1
P19784,DB01359,0
P46976,DB07624,0
P36544,DB00418,1
O14757,DB07654,1
Q01581,DB08291,0
P20231,DB04764,1
P03372,DB07677,0
P00374,DB08642,1
O75899,DB05010,1
Q9NR96,DB08292,0
P08235,DB01023,1
P18089,DB00714,1
P08588,DB01001,1
P25311,DB00798,0
P50391,DB08351,0
P47985,DB08453,1
P68371,DB04910,1
P32238,DB06732,0
P32320,DB02803,0
Q9BYZ2,DB01167,0
Q9BVG9,DB08124,0
P49366,DB00924,0
Q9HB55,DB02499,0
Q96QT4,DB04395,1
P09488,DB02165,1
P05121,DB00936,0
P05177,DB06148,1
P35462,DB05271,1
P11229,DB00505,1
O95749,DB03026,0
P21397,DB04017,1
P23219,DB00465,1
P41594,DB00659,1
Q16831,DB02143,0
O14521,DB04117,0
Q03154,DB04715,0
P02749,DB08776,0
P29474,DB02942,0
P00734,DB07027,1
P37231,DB07172,1
Q9H4B7,DB08529,0
P48169,DB01589,1
P00325,DB03461,1
P28065,DB08889,1
P34903,DB00186,1
P08709,DB04767,1
P16220,DB07801,0
Q15661,DB03777,0
P78540,DB03881,0
Q8IVH4,DB00115,1
Q15120,DB05913,0
Q15274,DB02831,0
Q9UHY7,DB02418,0
P22694,DB00584,0
Q9Y2I1,DB09053,0
P07864,DB07209,0
P39900,DB04405,1
P14416,DB04889,1
Q9UNX3,DB02426,0
P10635,DB00706,1
P04278,DB08113,0
Q01726,DB04890,0
P29475,DB02077,1
P07737,DB02211,0
O14764,DB00402,1
P47869,DB00243,0
P19113,DB07841,0
P05177,DB06210,1
P16435,DB00750,0
O14939,DB00922,0
P41143,DB00514,1
P04350,DB03010,1
P36021,DB07376,0
P13569,DB03012,0
P35968,DB06080,1
P41145,DB00497,1
P68366,DB01873,1
P49137,DB07430,1
P78536,DB04200,0
P20813,DB00908,1
P43004,DB08593,0
Q9UHI5,DB07757,0
P16109,DB04579,0
P32320,DB07190,0
P46098,DB00757,1
P62258,DB04562,0
Q99928,DB00306,1
Q08289,DB00421,1
P19652,DB07790,0
P06401,DB00588,1
P03915,DB03444,0
O14841,DB07638,0
P11712,DB00818,1
P15121,DB07063,1
Q9UJT0,DB01193,0
P08912,DB00622,1
Q9H4Y5,DB07908,0
P04150,DB00687,1
P35625,DB00419,0
P30874,DB06663,1
P45984,DB08302,0
Q9NXE4,DB01301,0
O60939,DB04593,0
O60294,DB02485,0
P30041,DB08447,0
Q15822,DB00416,1
P11217,DB02964,1
Q96PR1,DB02852,0
P00414,DB04585,0
Q15825,DB09028,1
Q09428,DB01120,1
P29275,DB01161,0
P41091,DB03373,0
P35372,DB01535,1
P10253,DB07903,0
O75936,DB00150,0
Q13838,DB04841,0
Q9UHC3,DB08838,1
P04818,DB00563,1
Q86VB7,DB02329,0
O75715,DB07313,0
Q5T4S7,DB00838,0
P05187,DB01123,0
Q02156,DB07539,0
Q9UJ68,DB00134,1
Q15080,DB04677,0
Q9NVS9,DB08591,0
P34972,DB01196,0
P05231,DB07171,0
P03886,DB08594,0
O14880,DB01123,0
P43166,DB03033,0
Q06278,DB08224,0
Q9UN88,DB00241,1
Q16678,DB02709,1
P48169,DB00228,1
Q9UQM7,DB08781,0
P43119,DB01160,1
O43272,DB07393,0
P51553,DB00327,0
P14867,DB00349,1
P00797,DB08099,1
Q8IWL2,DB01628,0
P11086,DB03824,1
P11712,DB01029,1
P31639,DB07957,0
P36952,DB02062,0
P49773,DB02183,1
Q02127,DB03523,1
P35219,DB03125,0
P22001,DB03092,0
O15217,DB00221,0
Q00536,DB02973,0
P11217,DB00114,1
O15239,DB00652,0
P08684,DB08918,1
Q16445,DB00349,1
P14867,DB01595,1
Q16740,DB06726,0
P08173,DB01224,1
P23219,DB00350,1
Q13564,DB08430,0
P08684,DB03084,0
P62942,DB07156,0
P33261,DB00783,1
P30872,DB01384,0
P09488,DB00515,1
O43526,DB00586,1
P28476,DB00231,1
O43678,DB02358,0
P07998,DB02363,1
A8MPY1,DB07014,0
P47870,DB00189,1
O43772,DB01288,0
Q9NPA1,DB00721,1
P28221,DB01186,1
P68400,DB08354,1
P41595,DB00216,1
Q8NET8,DB00825,1
P19971,DB06901,0
P36405,DB00360,0
P33151,DB00480,1
P43155,DB07804,0
Q15759,DB08896,1
P22309,DB00945,0
P09874,DB07096,1
P07108,DB03346,0
O43526,DB03902,0
P35968,DB00918,0
P21731,DB00848,0
Q9Y6M4,DB03637,0
P43155,DB07177,0
P50406,DB06144,1
P11388,DB07204,0
P51511,DB00786,1
P09467,DB07312,1
P15531,DB02569,1
P08574,DB07763,1
P03905,DB01901,0
P51160,DB08490,0
P28335,DB00248,1
P08631,DB04769,0
Q99928,DB02714,0
P08908,DB00988,1
P33261,DB00665,1
P63096,DB04315,1
P10153,DB02098,1
P20711,DB04557,0
P05177,DB00472,1
Q8TF76,DB07363,0
Q13233,DB06061,1
Q8WYK2,DB07380,0
P07900,DB00155,0
P26439,DB04577,0
P05412,DB08313,0
P08238,DB08153,1
P20309,DB00622,1
Q9UBT6,DB04203,0
P15692,DB04327,0
Q9Y6M4,DB00252,0
Q9UHQ9,DB02207,0
P42338,DB00201,1
P37288,DB00872,1
P00488,DB07082,0
P08684,DB01544,1
P10915,DB08373,0
P00749,DB06855,1
Q9UBT6,DB08612,0
Q99928,DB01588,1
P05108,DB00819,0
Q13936,DB00308,1
P30531,DB02034,0
P30536,DB01178,1
P00734,DB07366,1
O60669,DB07229,0
Q14123,DB08889,0
O15399,DB00454,1
P35367,DB00557,1
P28222,DB01003,0
O60733,DB03964,0
Q8N0U8,DB00214,0
P05181,DB00184,1
O60858,DB07816,0
Q92831,DB08291,1
Q96L21,DB01782,0
P35372,DB01209,1
Q14643,DB02834,0
Q07864,DB03023,0
P03372,DB01065,1
P49448,DB07834,0
P08729,DB08836,0
P18031,DB07134,1
P11217,DB04645,1
Q9NUB1,DB00131,1
P05177,DB06589,1
P23280,DB06795,1
P07333,DB07289,0
Q9Y646,DB00367,0
Q9UBM7,DB01098,0
P60953,DB00900,0
P13716,DB04781,1
Q969G6,DB02095,0
P07451,DB04306,0
P61158,DB01366,0
P10635,DB01029,1
P08254,DB02350,1
P11226,DB03288,0
P06276,DB03884,0
P50579,DB03396,1
P15336,DB01037,0
P07550,DB01288,1
P08908,DB00540,1
O75976,DB07218,0
P28335,DB00268,1
P23141,DB11362,1
P31644,DB00818,1
Q96CD2,DB07120,0
O75521,DB03924,0
P11229,DB09076,1
P06241,DB02467,0
Q9UHW9,DB07100,0
Q86SZ2,DB07065,0
P33261,DB00682,1
Q9NS40,DB00457,1
P59998,DB00119,0
Q05513,DB01239,0
Q96NX5,DB08009,1
P05305,DB07626,0
P11387,DB04882,1
P33121,DB08798,0
P0CG04,DB00400,0
P23381,DB01831,1
Q04759,DB00905,0
P28070,DB00275,0
Q12879,DB00289,1
P49019,DB01102,0
Q16539,DB08097,1
Q14432,DB04877,0
P08684,DB00357,1
P11712,DB08875,1
O43676,DB00157,1
P20472,DB01289,0
P08709,DB04590,1
P17612,DB07947,1
P07949,DB08901,1
P27797,DB08043,0
O94766,DB02720,0
P08183,DB04905,1
P04035,DB01098,1
P00813,DB03370,1
O75330,DB07105,0
P17948,DB08896,1
P49189,DB07270,0
P16118,DB08191,0
Q9UBX1,DB02243,1
Q9UGM1,DB05137,1
P04181,DB08094,0
Q15800,DB04250,0
P02708,DB08890,0
O60840,DB04855,1
P22748,DB08846,1
P20309,DB00342,1
P05106,DB00342,0
Q9UJT0,DB00185,0
P08684,DB00193,1
P20815,DB06228,1
P22830,DB04736,0
P10632,DB00316,1
P47869,DB01236,1
P04818,DB05116,1
P52569,DB00123,1
Q14534,DB07520,0
P22695,DB08453,1
Q16644,DB01953,0
P54284,DB01388,1
O15374,DB07446,0
P23469,DB08658,0
P01023,DB04563,0
P05164,DB00550,1
P15121,DB07135,0
P42338,DB00652,0
P10635,DB00757,1
Q9NVH6,DB02877,0
P08684,DB00731,1
Q8WUI4,DB02908,0
P19883,DB00670,0
P08254,DB01996,1
O43293,DB07204,0
P07948,DB08901,1
P22303,DB02404,1
Q5T4S7,DB05483,1
Q99707,DB08339,0
P10398,DB00171,1
Q8TCU5,DB00721,1
P51161,DB04348,1
P11712,DB09280,1
P00918,DB00880,1
Q13332,DB01077,1
P18850,DB02407,0
O00217,DB02216,0
P05177,DB00533,1
O14757,DB08393,1
Q13370,DB01640,1
P53350,DB03216,0
Q15080,DB03035,0
Q9Y3R4,DB07960,1
P54289,DB04322,0
P01768,DB00821,0
P28472,DB00186,1
Q9NSA0,DB01212,1
P54750,DB02352,0
P16050,DB03531,0
P31644,DB00546,1
P15121,DB00615,0
Q8NFW8,DB01280,0
P12821,DB02623,0
Q9BQB6,DB00422,0
P15289,DB04786,1
P40925,DB01643,0
P20309,DB00986,1
O00591,DB01159,1
Q9UNA0,DB00692,0
P10398,DB07956,0
P42262,DB05047,1
P10632,DB00235,0
P35368,DB00420,1
O60603,DB08520,0
P16112,DB07258,0
O95864,DB08354,0
P33261,DB01274,1
P00734,DB07741,1
Q14330,DB01472,0
P20815,DB00762,1
P00325,DB01213,1
Q16644,DB07160,0
P01857,DB01631,1
P55789,DB00399,0
O43526,DB01141,0
P05023,DB01244,1
P27487,DB07830,1
P05177,DB00908,1
P61925,DB00599,0
P14061,DB01536,1
P03372,DB06401,1
P04731,DB02963,0
P18405,DB00458,0
P18031,DB02420,1
P27487,DB08024,1
Q16671,DB06237,0
P62829,DB07374,1
P30926,DB06948,0
P43681,DB00849,1
P27338,DB06207,0
P25116,DB07905,0
P39023,DB04865,1
P05164,DB00833,1
P32238,DB08057,0
Q9BQB6,DB01418,1
O95342,DB00845,1
P35367,DB00985,1
Q08289,DB06712,1
Q9GZZ6,DB00202,1
P41235,DB08799,0
P40261,DB08065,0
P17612,DB04098,1
O00329,DB00578,0
Q9UJS0,DB01842,0
P10253,DB03721,0
Q01718,DB01284,1
P35228,DB07405,1
P27338,DB08804,1
Q9UN88,DB02299,0
Q9Y285,DB00548,0
P17213,DB07608,0
P18031,DB01820,1
Q5JPH6,DB02008,0
P09467,DB00131,1
P35368,DB00800,1
O14983,DB07008,0
O95954,DB03102,0
Q8NER1,DB08045,0
P09960,DB07099,1
P27169,DB00509,0
P31939,DB00528,0
Q7LG56,DB03685,0
P08913,DB00540,1
P11388,DB08562,0
P43235,DB07563,1
P11217,DB03286,1
P23975,DB00476,1
P23416,DB04055,0
P61927,DB04805,1
P52961,DB00616,0
P35754,DB00721,0
P33261,DB04920,1
Q9NYA1,DB02326,0
P29317,DB04395,1
P23975,DB04657,0
P18089,DB05461,1
P08235,DB00421,1
P05181,DB01223,1
P10635,DB01191,1
P16455,DB04839,0
Q13936,DB03120,0
P19838,DB00580,0
P28702,DB07080,1
P27986,DB01437,0
P09848,DB02376,1
P19438,DB01114,0
P36959,DB08015,0
O00204,DB00436,0
P42574,DB08497,1
O75251,DB08809,0
P11509,DB01037,1
P49841,DB01793,1
Q99584,DB00253,0
P00488,DB03288,0
P13716,DB02878,1
P08709,DB01159,0
P11229,DB00246,1
P30038,DB08608,0
P08588,DB01210,1
P52895,DB00820,0
P05177,DB08783,0
O43293,DB07242,1
P35625,DB05383,1
P31645,DB06700,1
P13945,DB06726,1
P13611,DB08818,1
Q9UM07,DB01082,1
P42684,DB01677,0
Q13627,DB02659,0
P15291,DB03425,0
P15559,DB03832,0
P15121,DB02518,1
P28845,DB07310,1
P11509,DB00751,0
P15291,DB03015,0
O43674,DB02759,0
Q16719,DB00114,1
Q13936,DB00661,1
P08684,DB00752,1
P04118,DB01686,0
P52732,DB08033,1
P24310,DB05327,0
P28845,DB03814,1
P30872,DB07677,0
P08842,DB05855,0
P10635,DB01551,1
Q16832,DB08896,1
P32929,DB04217,1
P05177,DB01388,1
P00797,DB06981,0
Q08289,DB00347,0
Q10588,DB03227,1
P42684,DB03491,0
P30536,DB01587,1
P24941,DB07164,1
P04798,DB01118,1
Q96BH3,DB06603,0
Q9Y6B6,DB04315,1
O15399,DB08167,0
Q16222,DB04268,0
O00764,DB00270,0
P08588,DB01151,1
O43741,DB05713,0
P05181,DB00655,1
Q16762,DB02918,0
P54710,DB03737,0
Q16836,DB04676,0
P10109,DB07771,0
Q96T66,DB01202,0
Q9UKG9,DB01565,0
P10721,DB05913,1
P62826,DB04315,1
Q6UX15,DB00454,0
Q8NBQ5,DB03643,0
P23219,DB01029,1
Q7LG56,DB03376,0
P35218,DB07397,0
O60674,DB04287,0
P08684,DB00812,1
Q16832,DB07009,0
Q92731,DB07933,1
P10635,DB03128,1
P15531,DB03491,1
P08254,DB07987,1
P24046,DB01588,1
P35498,DB04930,1
P11086,DB08654,1
P32418,DB00732,0
P07550,DB00571,1
P36959,DB00945,0
Q9UJ70,DB04821,0
P02144,DB08526,0
P17948,DB01268,1
P00325,DB00157,1
P00813,DB01113,0
P07384,DB04392,0
Q9HB40,DB02269,0
Q08426,DB08087,0
P41439,DB00158,1
P33261,DB00675,1
P52895,DB07768,1
P33151,DB01901,0
P06737,DB01116,0
Q16613,DB07469,0
Q96CD2,DB07093,0
P29474,DB00360,1
O75911,DB03233,0
P34903,DB00273,1
Q9NQS7,DB01472,0
P14780,DB07149,0
Q9UJT1,DB00570,1
P10632,DB00755,1
P06276,DB00449,1
P49773,DB03144,0
O95069,DB00502,0
P43004,DB06836,0
P23219,DB00749,1
P25116,DB04218,0
P08684,DB06016,1
P10145,DB01684,0
P55789,DB07513,0
O43497,DB02243,0
P02708,DB07926,0
P51970,DB08249,0
Q12879,DB03626,0
Q9UGI6,DB08522,0
P21728,DB02988,0
P05451,DB04522,1
P26572,DB00959,0
P35398,DB06706,0
Q02817,DB01129,0
Q9H2G2,DB08675,0
P28223,DB01224,1
P08684,DB00367,1
P23219,DB01009,1
O14764,DB00371,1
P42262,DB08303,1
Q16206,DB04915,1
O76054,DB00482,0
P41143,DB03974,0
Q9HA77,DB09202,0
P42574,DB08229,1
P18825,DB00408,1
P24941,DB08247,1
Q14330,DB00912,0
P61925,DB07854,1
P30043,DB02073,1
P08684,DB08827,1
Q9UBM7,DB08815,0
P42126,DB02350,0
P11233,DB06706,0
P30559,DB07069,0
P0CG04,DB03828,0
P33261,DB00347,1
Q08289,DB02750,0
P35247,DB00382,0
P47989,DB03147,1
Q9UHI5,DB07393,0
P12724,DB02098,1
P07225,DB00849,0
O15554,DB00823,0
P33260,DB00458,1
Q9Y6B6,DB07067,0
P07711,DB03661,1
P08684,DB01100,1
O60939,DB07913,0
O95169,DB07375,0
P41143,DB00956,1
Q96RD7,DB01009,0
P56817,DB07019,1
P34969,DB00226,0
P28335,DB00370,1
P51511,DB01242,0
P46098,DB00726,1
P17252,DB01832,0
P06881,DB07983,0
P54687,DB04776,0
P14416,DB00726,1
Q9NPH2,DB02142,0
P08684,DB01396,1
P05177,DB00851,1
Q16445,DB00231,1
P11086,DB08550,1
O15375,DB00119,1
P23415,DB03635,0
P56696,DB01340,0
P35462,DB00391,1
Q15842,DB03155,0
P29474,DB04559,1
P20813,DB01320,1
P09884,DB01280,1
P22303,DB02166,1
P32745,DB01694,0
P31151,DB07597,0
P54819,DB07159,0
P08173,DB00408,1
P52895,DB00420,0
P68371,DB01954,0
P12931,DB03104,1
P31930,DB01238,0
P40939,DB06964,0
Q6PI48,DB07602,0
P54886,DB00142,1
P25789,DB07609,0
Q96MA6,DB01717,1
P51168,DB08283,0
P08684,DB00819,1
P00750,DB07684,1
P48552,DB08387,0
P61024,DB01396,0
P06241,DB01254,1
P78352,DB07271,0
P11177,DB00922,0
P37231,DB06908,1
P13631,DB00799,1
P11712,DB00580,1
P04183,DB00741,0
Q07869,DB04573,0
P09669,DB02659,1
P08684,DB00864,1
P12277,DB09083,0
P14927,DB02367,0
P11712,DB00613,1
Q9HAB3,DB02835,0
P35968,DB07326,1
P52732,DB08198,1
P01375,DB08340,0
P23219,DB00829,1
Q9NSA2,DB00576,0
P35346,DB04799,0
P78368,DB03083,1
P11712,DB04600,0
Q16790,DB00562,1
P28472,DB01215,1
P02585,DB01023,1
P16444,DB07067,0
P14416,DB00589,1
P02675,DB03697,0
P05181,DB08846,1
O14920,DB06151,1
P01023,DB06833,0
P09958,DB01970,0
P11388,DB03213,0
Q9UNN8,DB02091,0
P08631,DB01567,0
P54278,DB03070,0
P01100,DB06997,0
P11712,DB00783,1
P00915,DB00774,1
P42263,DB00913,0
Q9BXI2,DB04318,0
Q14524,DB00252,1
P35348,DB00334,1
P24462,DB00176,1
Q6NXR0,DB04803,0
P46459,DB08163,0
Q9BVA1,DB01966,0
O76082,DB08526,0
Q16445,DB00114,0
P31751,DB03061,0
P08684,DB01261,1
Q8N1C3,DB01589,1
P00734,DB06878,1
P23975,DB01173,1
P00326,DB04312,1
P10275,DB01026,1
O95479,DB07048,0
P02675,DB07630,0
P21964,DB00968,1
P22570,DB08416,0
P30043,DB03183,0
P02749,DB07842,0
P08246,DB03925,1
P21728,DB08827,0
P20815,DB00655,1
P07550,DB00938,1
P08684,DB00240,1
Q13002,DB07078,0
P08684,DB00708,1
P27338,DB00191,1
P43235,DB07965,1
Q9HBH1,DB04368,1
Q8N1C3,DB00628,1
P20815,DB00394,1
P43681,DB04556,0
P20815,DB00776,1
P18507,DB00659,1
P35354,DB09217,1
Q07912,DB07836,0
P80188,DB00138,0
P29972,DB00823,0
P10632,DB01241,1
P08684,DB01590,1
P08559,DB03732,0
Q13639,DB01972,0
Q13393,DB04662,0
P04818,DB08453,0
P60568,DB03501,0
P23378,DB00145,1
P35368,DB01614,1
P10826,DB02377,0
P30939,DB07537,0
P49721,DB02348,0
Q8NBQ5,DB02209,0
Q01668,DB00568,1
P35367,DB00835,1
P12821,DB00178,1
P08908,DB08807,1
O14735,DB03106,1
P26439,DB00114,0
P01024,DB07988,0
P05108,DB02378,0
P16220,DB02796,0
P10632,DB00850,1
O75251,DB01595,0
P35228,DB07389,1
Q16445,DB00628,1
P11309,DB07242,1
P14780,DB01367,0
P47712,DB07183,0
P10632,DB00370,1
P11226,DB03879,1
P35348,DB00692,1
P24941,DB08141,1
P27815,DB00397,0
P49773,DB01611,0
P34969,DB08546,0
Q13547,DB01628,0
P23219,DB00328,1
P51970,DB01255,0
P35749,DB01438,0
P0CG48,DB06951,0
P12821,DB02032,1
P04075,DB06774,0
P00367,DB01197,0
P04798,DB01064,1
P40429,DB01890,0
P00167,DB00177,0
P08684,DB00435,1
P30049,DB00228,1
P34913,DB08535,0
Q16678,DB00997,1
P30968,DB01210,0
P10632,DB00255,1
Q13509,DB07254,0
P21397,DB03147,1
P35368,DB00540,1
P50416,DB05423,0
Q99259,DB07467,0
