query_protein,similar_protein,similarity
A0A0E1R3H3,P00807,0.9537153
A0A0E1R3H3,P14677,0.9536425
A0A0H2URW2,P22262,0.9663358
A0A0H2URW2,Q7BK04,0.96274054
A0A0H2URW2,P13956,0.9600464
A0A0H2URW2,P18357,0.9560255
A0A0H2URW2,A3FMN7,0.9547775
A0A0H2URW2,P09142,0.950605
A0A0H2URW2,P53848,0.9504067
A0A0H2URW2,Q7DB61,0.9485333
A0A0H2URW2,P39621,0.94608384
A0A0H2URW2,P14262,0.9457443
A0A0H2UXE9,P22939,0.99964875
A0A0H2UXE9,P60472,0.9606105
A0A0H2UXE9,P0A9J6,0.9558292
A0A0H2UXE9,P25924,0.955559
A0A0H2UXE9,P15770,0.95312744
A0A0H2UXE9,P45568,0.953044
A0A0H2UXE9,P15043,0.9513501
A0A0H2UXE9,P26392,0.9510139
A0A0H2UXE9,P17443,0.95082676
A0A0H2UXE9,P77444,0.95077527
A0A0H2WWQ9,Q8DR59,0.9795436
A0A0H2WWQ9,Q04707,0.97904325
A0A0H2WWQ9,A0A0H2XJ39,0.9684298
A0A0H2WWQ9,Q8DNB6,0.96746993
A0A0H2WWQ9,Q8XJ01,0.9624756
A0A0H2WWQ9,P0A3M5,0.9604063
A0A0H2WWQ9,P0A3M6,0.9604063
A0A0H2WWQ9,O70038,0.9603423
A0A0H2WWQ9,Q7CRA4,0.9603423
A0A0H2WWQ9,P14677,0.9499915
A0A0H2XJ39,P0A3M6,0.9785472
A0A0H2XJ39,P0A3M5,0.9785472
A0A0H2XJ39,Q8DNB6,0.97656906
A0A0H2XJ39,A0A0E1R3H3,0.97565055
A0A0H2XJ39,P42971,0.9715666
A0A0H2XJ39,P14677,0.9713875
A0A0H2XJ39,P59676,0.9712943
A0A0H2XJ39,Q04707,0.96973497
A0A0H2XJ39,Q8DR59,0.9696497
A0A0H2XJ39,A0A0H2WWQ9,0.9684298
A0A0H2Z368,Q9KWU1,0.9709985
A0A0H2Z368,P46883,0.96631515
A0A0H2Z368,P06875,0.96598065
A0A0H2Z368,Q72EF3,0.9614293
A0A0H2Z368,P05655,0.9529978
A0A0H2Z368,Q51705,0.9520986
A0A0H2Z368,P49424,0.95087636
A0A0H2Z368,Q54468,0.9496138
A0A0H2Z368,Q46704,0.94701475
A0A0H2Z368,P09598,0.94697636
A0A0H3JRU9,Q8NW68,0.96949655
A0A0H3JRU9,P0AFG8,0.96846676
A0A0H3JRU9,Q59192,0.9657595
A0A0H3JRU9,A0A0H3K1U2,0.9649043
A0A0H3JRU9,P41972,0.9641649
A0A0H3JRU9,P23368,0.9638131
A0A0H3JRU9,P14779,0.96330196
A0A0H3JRU9,P31327,0.96306145
A0A0H3JRU9,P48163,0.9629004
A0A0H3JRU9,O34974,0.96275866
A0A0H3JWX6,P07944,0.95722044
A0A0H3JWX6,Q53707,0.9568026
A0A0H3JWX6,P00807,0.95549256
A0A0H3JWX6,P04190,0.95501745
A0A0H3JWX6,P72355,0.9536983
A0A0H3JWX6,P00644,0.9520711
A0A0H3JWX6,P59676,0.9508209
A0A0H3JWX6,A0A0H2XJ39,0.95078796
A0A0H3JWX6,P14677,0.95078075
A0A0H3JWX6,Q75Y35,0.9504019
A0A0H3K1U2,Q9FD87,0.9988386
A0A0H3K1U2,P37062,0.9662893
A0A0H3K1U2,A0A0H3JRU9,0.9649043
A0A0H3K1U2,P40859,0.9589242
A0A0H3K1U2,P31013,0.95721567
A0A0H3K1U2,P04964,0.95706654
A0A0H3K1U2,P11411,0.9566333
A0A0H3K1U2,Q53ZE5,0.9565904
A0A0H3K1U2,P31012,0.9559884
A0A0H3K1U2,P0AFG8,0.9555001
A0A0M3KKX1,P0A017,0.9982035
A0A0M3KKX1,Q81R22,0.9490509
A0A0M3KKX1,P65389,0.9366764
A0A0M3KKX1,Q672W7,0.93574
A0A0M3KKX1,P27623,0.9293143
A0A0M3KKX1,P0A078,0.9291172
A0A0M3KKX1,P0A079,0.9291172
A0A0M3KKX1,P50618,0.9290688
A0A0M3KKX1,Q93LE9,0.92694676
A0A0M3KKX1,Q5HEB7,0.92360646
A0R559,P9WP01,0.9643338
A0R559,P9WHE9,0.9612478
A0R559,P9WJJ7,0.9608772
A0R559,P9WPE1,0.9547297
A0R559,P9WJ63,0.9542415
A0R559,P0C0X2,0.9535314
A0R559,Q9L888,0.95179135
A0R559,P0C0X1,0.95075285
A0R559,P9WKD7,0.9488853
A0R559,P9WNX3,0.94674194
A1A2B5,P9WHH7,0.91126275
A1A2B5,O69755,0.91093284
A1A2B5,Q9AGP8,0.908502
A1A2B5,O52791,0.90724474
A1A2B5,Q08698,0.9066901
A1A2B5,O52806,0.8998541
A1A2B5,Q51793,0.89515656
A1A2B5,P20906,0.8916365
A1A2B5,P26602,0.88712984
A1A2B5,P0AES2,0.88560754
A2QLK4,P51168,0.9631687
A2QLK4,P29475,0.9564185
A2QLK4,Q9C0B1,0.9550925
A2QLK4,P14679,0.9541647
A2QLK4,O15923,0.95280015
A2QLK4,Q9UBQ6,0.95274127
A2QLK4,P48736,0.95159554
A2QLK4,Q9Y2I7,0.9497928
A2QLK4,P55157,0.9487946
A2QLK4,P51170,0.9477776
A3FMN7,P09142,0.9577049
A3FMN7,Q7DB61,0.95692813
A3FMN7,Q46220,0.9569256
A3FMN7,P15917,0.9553455
A3FMN7,A0A0H2URW2,0.9547775
A3FMN7,P22262,0.95159817
A3FMN7,Q9XB59,0.94931805
A3FMN7,Q9LAK3,0.9487554
A3FMN7,P29768,0.94776255
A3FMN7,P01556,0.9457837
A5HEI4,P21905,0.9566066
A5HEI4,P43457,0.9139284
A5HEI4,O68874,0.90465784
A5HEI4,P60844,0.90465784
A5HEI4,P9WPS1,0.9009395
A5HEI4,P69054,0.8724108
A5HEI4,P69681,0.8718425
A5HEI4,Q99437,0.86561865
A5HEI4,P31224,0.8610607
A5HEI4,Q59560,0.8578836
A5W4F4,Q9HVJ6,0.96512413
A5W4F4,Q9RBW8,0.9616591
A5W4F4,O33407,0.9590675
A5W4F4,P13036,0.9476481
A5W4F4,P05695,0.9422094
A5W4F4,P0A921,0.94153655
A5W4F4,P37001,0.9381602
A5W4F4,P11922,0.935914
A5W4F4,P06875,0.930912
A5W4F4,P06971,0.92962766
A5X5Y0,Q8WXA8,0.9901428
A5X5Y0,P46098,0.9722109
A5X5Y0,O95264,0.97218835
A5X5Y0,P43220,0.9546995
A5X5Y0,P08185,0.94004637
A5X5Y0,P05154,0.93818665
A5X5Y0,P29622,0.93781626
A5X5Y0,P41597,0.9360315
A5X5Y0,P47871,0.9359574
A5X5Y0,O95255,0.93510866
A7B6P0,P25052,0.9371262
A7B6P0,P39841,0.9326623
A7B6P0,P08243,0.9321588
A7B6P0,Q81EE4,0.9321392
A7B6P0,Q05488,0.93078697
A7B6P0,P39135,0.92910206
A7B6P0,Q47764,0.9260888
A7B6P0,D2YW37,0.9256567
A7B6P0,P0AB74,0.9254073
A7B6P0,Q26609,0.925184
A8MPY1,O00591,0.9889892
A8MPY1,P24046,0.9771265
A8MPY1,P28476,0.97253907
A8MPY1,P48167,0.9674799
A8MPY1,P78334,0.9645587
A8MPY1,O14764,0.96051514
A8MPY1,P37173,0.95726645
A8MPY1,Q27218,0.95608264
A8MPY1,P25092,0.95598775
A8MPY1,O75899,0.95004684
A9CJ63,P0AEK4,0.9467737
A9CJ63,P07097,0.9464998
A9CJ63,P0A6R0,0.94416654
A9CJ63,P42443,0.94238555
A9CJ63,P80040,0.94220793
A9CJ63,P0A7Z3,0.94161105
A9CJ63,P24630,0.94131696
A9CJ63,Q2QJL3,0.9409281
A9CJ63,P18925,0.94019645
A9CJ63,Q9JZW6,0.93999374
A9JQL9,Q6GII7,0.9601749
A9JQL9,Q6GGU4,0.94656634
A9JQL9,Q734I1,0.9378265
A9JQL9,O25608,0.933164
A9JQL9,P13956,0.9322847
A9JQL9,Q9RC23,0.93133736
A9JQL9,P23340,0.92863256
A9JQL9,Q7BK04,0.9255464
A9JQL9,P53554,0.9242479
A9JQL9,A0A0H3JWX6,0.922962
B2ZTR6,O08498,0.9595288
B2ZTR6,Q75Y35,0.95515215
B2ZTR6,P25910,0.9514288
B2ZTR6,Q89ZI2,0.9485571
B2ZTR6,P37321,0.94769454
B2ZTR6,A0A0H2XJ39,0.9468197
B2ZTR6,P04190,0.9467204
B2ZTR6,P00811,0.9461216
B2ZTR6,P13661,0.94442666
B2ZTR6,P59676,0.9440349
B4YQT9,Q8GBW6,0.95923483
B4YQT9,P11498,0.9511069
B4YQT9,Q9Y3I0,0.94966036
B4YQT9,P0AB80,0.94961226
B4YQT9,O87696,0.9471686
B4YQT9,Q53586,0.9466802
B4YQT9,P20831,0.94643307
B4YQT9,Q47PU3,0.9461225
B4YQT9,P0A1F6,0.9450592
B4YQT9,Q8VTT5,0.9446541
B7JA91,Q4R2T2,0.9791181
B7JA91,O34453,0.9732951
B7JA91,P11439,0.9727676
B7JA91,O15144,0.9721482
B7JA91,Q9NZD4,0.9678888
B7JA91,P22869,0.9659045
B7JA91,Q8NEY4,0.9643532
B7JA91,Q86YB8,0.9626378
B7JA91,P10943,0.9613111
B7JA91,Q9Y6R4,0.9600737
B7JBP8,O66145,0.9607928
B7JBP8,O67931,0.9598464
B7JBP8,P07773,0.95957583
B7JBP8,P53396,0.95933056
B7JBP8,P13981,0.9585774
B7JBP8,P54716,0.9585155
B7JBP8,P36683,0.9583551
B7JBP8,P06149,0.95832
B7JBP8,P32169,0.95668393
B7JBP8,P0AFG8,0.95614797
C0H419,Q819U0,0.8881571
C0H419,P0A078,0.8872447
C0H419,P0A079,0.8872447
C0H419,P0A3D9,0.8857752
C0H419,P61949,0.8835461
C0H419,Q93LE9,0.88275176
C0H419,P43886,0.8820377
C0H419,Q05488,0.881457
C0H419,P29498,0.88121724
C0H419,P10340,0.88105476
C1KC03,Q53707,0.9908647
C1KC03,P07944,0.9908358
C1KC03,A0A0H2XJ39,0.9596673
C1KC03,P72355,0.95951486
C1KC03,P00807,0.9588231
C1KC03,D6R448,0.958213
C1KC03,P14677,0.9535812
C1KC03,P59676,0.9533173
C1KC03,A0A0H3JWX6,0.94972885
C1KC03,A0A0H2WWQ9,0.9481861
C3T8E2,P11350,0.92653525
C3T8E2,Q9UM01,0.9241627
C3T8E2,P09391,0.9239408
C3T8E2,P0A6M2,0.9192728
C3T8E2,Q9UPY5,0.9177476
C3T8E2,P0A8Q3,0.9139566
C3T8E2,Q9BXI2,0.911628
C3T8E2,A0A045ISQ8,0.91135275
C3T8E2,Q7Z2H8,0.9085329
C3T8E2,P0AEK7,0.90650165
C9EH48,P9WJY5,0.9445634
C9EH48,Q56408,0.9412719
C9EH48,Q98GN8,0.9295285
C9EH48,P02920,0.9231652
C9EH48,P44783,0.9187181
C9EH48,P60063,0.9158539
C9EH48,Q7L0J3,0.9122671
C9EH48,P0DM80,0.9095786
C9EH48,O68600,0.90673625
C9EH48,Q9NQS5,0.90520424
D2YW37,P23340,0.9592265
D2YW37,P17412,0.95378244
D2YW37,P45494,0.9517056
D2YW37,O34667,0.95093775
D2YW37,P11546,0.94972503
D2YW37,P09788,0.94515204
D2YW37,P16099,0.944637
D2YW37,P81006,0.9439002
D2YW37,P69903,0.94315696
D2YW37,Q26609,0.94199145
D6R448,C1KC03,0.958213
D6R448,P14262,0.94967854
D6R448,P07944,0.9481816
D6R448,Q53707,0.9473982
D6R448,Q8XJ01,0.94612896
D6R448,P34024,0.94457126
D6R448,P72355,0.94243693
D6R448,P36924,0.93824947
D6R448,P59676,0.9367281
D6R448,Q9R5V5,0.936651
F1L7U3,Q9BUF5,0.97590464
F1L7U3,Q9H4B7,0.9737892
F1L7U3,Q9HCC0,0.9447096
F1L7U3,P36959,0.94230455
F1L7U3,P23921,0.93859255
F1L7U3,Q13509,0.9382234
F1L7U3,P48735,0.93734974
F1L7U3,P13639,0.93668455
F1L7U3,P52209,0.93475556
F1L7U3,P25705,0.9344808
K7YNB3,P11511,0.9623173
K7YNB3,P48736,0.96139795
K7YNB3,P18548,0.9599281
K7YNB3,O60733,0.95889986
K7YNB3,Q9LCC8,0.9584408
K7YNB3,Q7K9G0,0.95782095
K7YNB3,Q9GPQ4,0.95616186
K7YNB3,P09142,0.95567036
K7YNB3,Q9XB61,0.9547101
K7YNB3,Q9UBQ6,0.9542402
L0DSL2,Q9KWU1,0.95699316
L0DSL2,O05935,0.95305645
L0DSL2,Q82IZ1,0.9516964
L0DSL2,Q72EF3,0.9508347
L0DSL2,Q84II6,0.9506712
L0DSL2,Q06700,0.94623655
L0DSL2,Q56839,0.9460032
L0DSL2,Q9XB59,0.9450964
L0DSL2,P06875,0.943726
L0DSL2,Q9RN68,0.9426867
L0LZJ6,P80376,0.96471894
L0LZJ6,P80377,0.94742525
L0LZJ6,P0A7X3,0.9406364
L0LZJ6,Q59560,0.9384155
L0LZJ6,P17291,0.93770695
L0LZJ6,P62219,0.9364842
L0LZJ6,P0A7V3,0.9344159
L0LZJ6,P0A820,0.932916
L0LZJ6,P0A0K8,0.93240964
L0LZJ6,P80040,0.93224645
O00141,Q96BR1,0.98289174
O00141,Q9UK32,0.96274835
O00141,P51812,0.95446205
O00141,Q06187,0.9544602
O00141,O14757,0.95281523
O00141,P42685,0.94987833
O00141,P42680,0.9490745
O00141,Q15418,0.947877
O00141,Q00532,0.9474641
O00141,P50750,0.94508886
O00142,Q9NPB1,0.95740235
O00142,Q9NZB8,0.94923365
O00142,Q05932,0.9389801
O00142,P11309,0.9381153
O00142,P10109,0.9366544
O00142,Q15102,0.9364214
O00142,P16066,0.93632233
O00142,Q9Y2Q3,0.9352349
O00142,P51788,0.9346922
O00142,O43272,0.93434155
O00180,O43306,0.96058804
O00180,P51828,0.9546995
O00180,Q08462,0.9542546
O00180,O95622,0.9541482
O00180,Q9H237,0.95098126
O00180,Q14524,0.9487997
O00180,O60427,0.9451723
O00180,P51800,0.9449702
O00180,Q9H8P0,0.94342244
O00180,Q8NFM4,0.9426769
O00182,P28676,0.9191146
O00182,Q15303,0.89657944
O00182,P54278,0.8871647
O00182,P29323,0.8863605
O00182,P00533,0.8861984
O00182,P54756,0.8857668
O00182,P17931,0.8856449
O00182,P52597,0.8836531
O00182,P54762,0.8823602
O00182,Q15796,0.882076
O00187,P00736,0.98635304
O00187,Q9Y6L7,0.97678995
O00187,P08709,0.97252345
O00187,P04070,0.9693971
O00187,Q9Y5Y6,0.96916926
O00187,P06213,0.9650527
O00187,P00742,0.96312714
O00187,P22413,0.9624465
O00187,P08253,0.9619856
O00187,Q02763,0.9614389
O00204,Q9UBN7,0.9476001
O00204,Q9UGI9,0.9309236
O00204,P14616,0.9305698
O00204,Q96QU6,0.93029636
O00204,P21709,0.9299268
O00204,Q8TD43,0.9295714
O00204,Q969S2,0.92933095
O00204,Q96RQ9,0.9290538
O00204,Q9Y5S1,0.92683893
O00204,Q96A70,0.92665786
O00206,Q9NYK1,0.98753184
O00206,Q9NR97,0.98499644
O00206,Q9Y2C9,0.98430425
O00206,O60603,0.9775002
O00206,P36888,0.97210586
O00206,P08922,0.97050774
O00206,Q5S007,0.9696487
O00206,Q6QNK2,0.96528065
O00206,P05546,0.9633938
O00206,Q13075,0.9626367
O00217,P21912,0.9686862
O00217,O75251,0.95478576
O00217,P31350,0.95226055
O00217,P49366,0.9446243
O00217,O75306,0.94412184
O00217,P00367,0.94364357
O00217,Q16740,0.9428734
O00217,P31040,0.9424672
O00217,P19404,0.9386757
O00217,P04818,0.93854505
O00222,Q14831,0.99733186
O00222,Q14833,0.9897659
O00222,P48058,0.97409165
O00222,O95477,0.97317314
O00222,Q13002,0.9704838
O00222,P42263,0.9694452
O00222,Q9Y2Q0,0.9684541
O00222,P55017,0.96602535
O00222,P29320,0.96586305
O00222,P39086,0.96576107
O00238,Q04771,0.9891549
O00238,P36896,0.9717776
O00238,P48051,0.9630668
O00238,P29074,0.96148723
O00238,P23743,0.96144104
O00238,Q8NEB9,0.9583781
O00238,Q12965,0.9571004
O00238,P48544,0.95668817
O00238,Q13621,0.9564182
O00238,P39086,0.95571357
O00244,Q96I99,0.9100045
O00244,P55263,0.90676576
O00244,P54819,0.9050834
O00244,P49588,0.90382314
O00244,P78330,0.9011101
O00244,P50213,0.90091336
O00244,Q15046,0.9001985
O00244,P51659,0.8995025
O00244,P54687,0.8982452
O00244,P54577,0.8973947
O00255,Q9Y2I1,0.9717628
O00255,Q05469,0.9714724
O00255,P29474,0.9705076
O00255,O00750,0.9700018
O00255,Q9NY59,0.9652366
O00255,Q8TF76,0.96474636
O00255,Q86UW7,0.9646423
O00255,P54098,0.9638536
O00255,Q6ZN16,0.9635244
O00255,Q14432,0.963448
O00264,Q9Y266,0.94397485
O00264,P50579,0.94067085
O00264,P18858,0.9340936
O00264,Q8IXJ6,0.93318176
O00264,P49585,0.93205416
O00264,Q9BRS2,0.93107295
O00264,P31323,0.9293714
O00264,Q9Y5K3,0.9288167
O00264,O43169,0.9283438
O00264,P30419,0.92808783
O00299,Q8TD30,0.9608779
O00299,Q9Y285,0.95607436
O00299,Q9UHQ9,0.9558749
O00299,P22314,0.9537256
O00299,Q16798,0.9510392
O00299,P35520,0.9509547
O00299,P12081,0.9498718
O00299,P30419,0.9497266
O00299,Q16877,0.9486419
O00299,P00387,0.9475661
O00303,O95831,0.92494094
O00303,P49840,0.9194198
O00303,P51003,0.9180739
O00303,Q9UGJ0,0.9158936
O00303,Q9UBF8,0.91309226
O00303,O14976,0.906482
O00303,P55011,0.90644646
O00303,Q13362,0.9051007
O00303,Q15078,0.9036594
O00303,Q9Y296,0.9033327
O00305,Q08289,0.9893273
O00305,Q02641,0.9825775
O00305,P54284,0.98132545
O00305,Q8N4C8,0.9632805
O00305,Q07343,0.961824
O00305,Q9P0L2,0.957898
O00305,Q15796,0.95735216
O00305,Q08499,0.9548089
O00305,Q7KZI7,0.9499614
O00305,Q9Y4K4,0.94750714
O00311,Q9UBT6,0.96225315
O00311,P51957,0.95504284
O00311,Q96QT4,0.95455396
O00311,Q96L42,0.95117563
O00311,P33402,0.948954
O00311,Q96NX5,0.94826216
O00311,Q8NEV4,0.94719076
O00311,Q9UPZ9,0.9457326
O00311,Q92800,0.94502866
O00311,Q8NG66,0.9439498
O00329,P42338,0.9840108
O00329,P42336,0.97866327
O00329,P32019,0.97687095
O00329,Q15080,0.97667384
O00329,Q8NER1,0.9757201
O00329,Q9BY66,0.97439945
O00329,Q9HCR9,0.97427964
O00329,O76074,0.97393644
O00329,Q9Y5S1,0.97353923
O00329,P53671,0.97309506
O00341,P43005,0.9796194
O00341,P43004,0.9712136
O00341,P48664,0.9669992
O00341,P52569,0.96510655
O00341,P48066,0.96362865
O00341,P33527,0.9635728
O00341,P30825,0.9629214
O00341,P43007,0.9611908
O00341,P48065,0.9608748
O00341,P48029,0.9605392
O00398,P43657,0.9783273
O00398,P47900,0.9717293
O00398,Q99677,0.9683476
O00398,Q9Y2T6,0.9677688
O00398,Q9Y271,0.9630982
O00398,Q9BXA5,0.9589468
O00398,P25116,0.95309377
O00398,P25105,0.9528612
O00398,Q9NS75,0.95214057
O00398,Q9BPV8,0.95094454
O00408,Q9UBK8,0.96983266
O00408,Q13163,0.96543455
O00408,Q14289,0.96485424
O00408,O00329,0.9640382
O00408,Q02153,0.9638046
O00408,Q96QU6,0.9626157
O00408,Q9UBS5,0.96165204
O00408,O15530,0.96052164
O00408,Q9Y2Z4,0.96028924
O00408,P33402,0.95999634
O00418,O00750,0.97997785
O00418,Q15111,0.9796489
O00418,Q9Y2I7,0.9760009
O00418,Q86UW7,0.9736512
O00418,Q9NYL2,0.9728976
O00418,Q9ULU8,0.9727889
O00418,Q8N1G2,0.9715073
O00418,O00763,0.9712701
O00418,Q5KSL6,0.9708188
O00418,Q9BPZ7,0.9706912
O00444,P33981,0.9762399
O00444,Q9Y2I7,0.9741254
O00444,Q13546,0.9732778
O00444,Q9NYL2,0.970978
O00444,Q12879,0.9703747
O00444,O75747,0.9691478
O00444,Q9BPZ7,0.9686808
O00444,O75417,0.9683919
O00444,Q99683,0.96589005
O00444,Q13224,0.96530783
O00469,Q02809,0.9841876
O00469,Q13822,0.9752301
O00469,Q04609,0.9711616
O00469,P27487,0.9694493
O00469,P00450,0.96922386
O00469,P10915,0.968516
O00469,P06858,0.96779007
O00469,P27169,0.9676602
O00469,Q12884,0.9669219
O00469,Q06033,0.9669143
O00483,Q9NRX3,0.9262349
O00483,O75964,0.921759
O00483,Q16718,0.9213902
O00483,P14854,0.9196259
O00483,O00217,0.91831404
O00483,P21912,0.91775274
O00483,P19404,0.9073659
O00483,P31350,0.90570843
O00483,P07195,0.9045636
O00483,Q9UDW1,0.9041894
O00519,P21964,0.96227276
O00519,O43272,0.9599411
O00519,P16066,0.9599171
O00519,P20594,0.9587557
O00519,Q8NF37,0.9562957
O00519,Q9NYR8,0.95476615
O00519,Q6NUM9,0.95378613
O00519,Q9Y600,0.95370615
O00519,Q9NYA1,0.9506746
O00519,Q9Y2Z4,0.950603
O00555,Q00975,0.98753643
O00555,Q15878,0.9705508
O00555,Q13936,0.96404004
O00555,Q08499,0.95445
O00555,P51787,0.95101213
O00555,A0A024R8I1,0.95069563
O00555,O60840,0.9506032
O00555,Q01668,0.94983196
O00555,P56696,0.9474191
O00555,Q14721,0.94396186
O00591,A8MPY1,0.9889892
O00591,P48167,0.9730296
O00591,O14764,0.9722103
O00591,P78334,0.96669483
O00591,Q27218,0.9648963
O00591,P24046,0.964464
O00591,Q7Z2W7,0.96199334
O00591,P48048,0.95915127
O00591,P28476,0.9591018
O00591,Q9BQ31,0.9568779
O00750,P50747,0.98215026
O00750,Q15111,0.981076
O00750,Q86UW7,0.98088735
O00750,O00418,0.97997785
O00750,Q9P2K8,0.97988975
O00750,P48736,0.97962093
O00750,Q6ZN16,0.9796026
O00750,Q9Y2I7,0.9791066
O00750,O00763,0.9774933
O00750,Q99683,0.97645843
O00757,P09467,0.9911129
O00757,P11586,0.96483725
O00757,P11216,0.9632019
O00757,P05062,0.96173304
O00757,P0AG16,0.96021825
O00757,P11217,0.9600142
O00757,P49821,0.9594607
O00757,P11413,0.9590716
O00757,P53041,0.95879793
O00757,P31939,0.95812285
O00763,Q13085,0.99785763
O00763,Q07864,0.9828609
O00763,P53355,0.97854674
O00763,O00750,0.9774933
O00763,Q15111,0.975842
O00763,O60733,0.9757283
O00763,P42336,0.9751603
O00763,P50747,0.97340834
O00763,P35913,0.97321844
O00763,P48736,0.97314847
O00764,P16118,0.9649789
O00764,Q9H3S4,0.964085
O00764,P16152,0.9549758
O00764,P21695,0.9532912
O00764,P23919,0.95197856
O00764,P00492,0.9477345
O00764,P09936,0.947595
O00764,Q15119,0.94688296
O00764,Q9NWZ5,0.9467807
O00764,Q96CD2,0.9466106
O05935,Q84II6,0.9864192
O05935,Q82IZ1,0.9743505
O05935,Q9XB59,0.9728163
O05935,P39300,0.97064614
O05935,P22869,0.967054
O05935,Q56839,0.96594673
O05935,P39639,0.9578486
O05935,Q06700,0.9548146
O05935,L0DSL2,0.95305645
O05935,Q7K9G0,0.9500176
O06644,P69903,0.99123657
O06644,Q46509,0.96576774
O06644,P09788,0.96132976
O06644,P31572,0.9590519
O06644,P17412,0.9586543
O06644,P16099,0.9550736
O06644,P81006,0.95278
O06644,P54716,0.9506391
O06644,P9WPB5,0.94818485
O06644,P0A108,0.94790703
O06796,P11439,0.9634396
O06796,B7JA91,0.9599082
O06796,Q4R2T2,0.94876665
O06796,Q7NSZ5,0.9480969
O06796,Q53119,0.944345
O06796,P22869,0.9413644
O06796,Q46393,0.9397378
O06796,O15923,0.9394196
O06796,P15273,0.93767434
O06796,P11741,0.93548375
O07015,O31156,0.96621925
O07015,P32397,0.9640023
O07015,P83812,0.9607861
O07015,P50740,0.9583365
O07015,P40859,0.95815086
O07015,P14779,0.95471776
O07015,O31465,0.95447767
O07015,P0A6I3,0.9537556
O07015,P39662,0.9533449
O07015,O34450,0.9531419
O07347,P56194,0.9655175
O07347,P19821,0.9555399
O07347,Q5SL87,0.9484798
O07347,Q5SHZ4,0.9452405
O07347,P56690,0.9435044
O07347,P83453,0.9415651
O07347,P36419,0.940421
O07347,P16608,0.9392965
O07347,Q60049,0.9329256
O07347,Q5SHR6,0.93235713
O07529,P25053,0.9449817
O07529,Q06174,0.9434072
O07529,O34450,0.9425858
O07529,O31465,0.941317
O07529,O31156,0.93715847
O07529,P54548,0.9369091
O07529,P83812,0.9368896
O07529,O31616,0.9360689
O07529,P37551,0.93465495
O07529,P50740,0.93371713
O07653,P07254,0.9534947
O07653,Q01693,0.9525433
O07653,P15636,0.94797075
O07653,P05618,0.94572186
O07653,P30920,0.9446129
O07653,P29957,0.94374466
O07653,P14756,0.943684
O07653,P10478,0.9383724
O07653,Q9AQS0,0.9325917
O07653,P00778,0.9305755
O07732,Q06528,0.9662033
O07732,Q8KI25,0.96520174
O07732,Q9FCA6,0.9639658
O07732,P9WPF1,0.9580358
O07732,Q54528,0.9566581
O07732,P95276,0.951472
O07732,Q00441,0.95093787
O07732,Q9L9D7,0.95047307
O07732,Q8GN86,0.9501943
O07732,P9WQG9,0.94862944
O08498,P25910,0.9692669
O08498,B2ZTR6,0.9595288
O08498,P04190,0.9525386
O08498,Q89ZI2,0.946912
O08498,Q9Z4P0,0.9382669
