drug,smiles,name
DB03706,N[C@@H](CCC(=O)N[C@@H](CS[C@@H](CO)COC1=CC=C(C=C1)[N+]([O-])=O)C(=O)NCC(O)=O)C(O)=O,1-Hydroxy-2-S-glutathionyl-3-para-nitrophenoxy-propane
DB03707,CCS\C(N)=N\C1=CC=CC=C1,S-Ethyl-N-Phenyl-Isothiourea
DB03708,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O,Adenosine 5'-phosphosulfate
DB03709,OCCN(CCO)CC(O)=O,Bicine
DB03702,[H]N(CC(O)=O)C(=O)C1=CC=C(C=C1)C(=O)N([H])[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N([H])[C@@H](C(C)C)C(=O)C(F)(F)F,"N-{4-[(Carboxymethyl)carbamoyl]benzoyl}-L-valyl-N-[(3S)-1,1,1-trifluoro-4-methyl-2-oxo-3-pentanyl]-L-prolinamide"
DB03703,OC1CCCCC1,Cyclohexanol
DB03704,OCCCCCCCCCCCC(O)=O,12-Hydroxydodecanoic Acid
DB03705,CNC1=C(C(=O)NC(N)=N1)[N+]([O-])=O,6-Methylamino-5-Nitroisocytosine
DB03710,CCC\C(N)=N/CCC[C@H]([NH3+])C(O)=O,[(1S)-4-(1-Aminobutylideneamino)-1-carboxybutyl]azanium
DB03711,CCC(=O)CCC(C)(C)O,6-Hydroxy-6-Methyl-Heptan-3-One
DB03712,CC(=O)N[C@@H](CC1=CC(C(O)=O)=C(CC(O)=O)C=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O,RU85053
DB03717,[H]N1CC[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)C1=O,"3-Hydroxy-4-(3,4,5-trihydroxy-tetrahydro-pyran-2-yloxy)-piperidin-2-one"
DB03718,[H][C@@]1(O)[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1N=CC(=O)NC1=O,6-aza uridine 5'-monophosphate
DB03719,CCNC(=O)[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N,N-Ethyl-5'-Carboxamido Adenosine
DB03714,[H][C@@](CCC(O)=O)(NC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(F)(F)P(O)(O)=O)C(N)=O,4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid
DB03716,NC1=C2N=CN([C@@H]3O[C@H](CF)[C@@H](O)[C@H]3O)C2=NC=N1,5'-Fluoro-5'-Deoxyadenosine
DB14410, ,Human adenovirus b serotype 7
DB15742, ,MultiStem
DB14411, ,Influenza A virus A/Victoria/361/2011 IVR-165 (H3N2) hemagglutinin antigen (propiolactone inactivated)
DB15741, ,Recombinant Bacterial ACE2 Receptors-like Enzyme
DB15740, ,Allogenic Pooled Olfactory Mucosa-derived Mesenchymal Stem Cells
DB14414, ,"Influenza A virus A/California/7/2009 X-179A (H1N1) hemagglutinin antigen (UV, formaldehyde inactivated)"
DB15746, ,Recombinant Human Plasma Gelsolin
DB14415, ,"Influenza A virus A/Switzerland/9715293/2013 NIB-88 (H3N2) hemagglutinin antigen (UV, formaldehyde inactivated)"
DB15745, ,Washed Microbiota Transplantation
DB14412, ,Influenza B virus B/Hubei-Wujiagang/158/2009 BX-39 hemagglutinin antigen (propiolactone inactivated)
DB15744, ,CAP-1002
DB14413, ,Influenza A virus A/Hong Kong/4801/2014 X-263B (H3N2) hemagglutinin antigen (formaldehyde inactivated)
DB15743, ,Stem-cell derived exosome vesicle products
DB14418, ,Influenza B virus B/Brisbane/60/2008 recombinant hemagglutinin antigen
DB14419, ,Influenza A virus A/Christchurch/16/2010 NIB-74XP (H1N1) hemagglutinin antigen (formaldehyde inactivated)
DB15749, ,Interferon Kappa
DB14416, ,"Influenza B virus B/Phuket/3073/2013 hemagglutinin antigen (UV, formaldehyde inactivated)"
DB15748, ,Viral Macrophage-Inflammatory Protein
DB14417, ,Influenza A virus A/Hong Kong/4801/2014 (H3N2) recombinant hemagglutinin antigen
DB15747, ,CoviGlobulin
DB01101,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,Capecitabine
DB02432,COC(=O)C1=C(C=CC(C[C@H](NC(C)=O)C(=O)N[C@H]2CCCCN(CC3=CC=C(C=C3)C3=CC=CC=C3)C2=O)=C1)C(F)(C(O)=O)C(O)=O,RU90395
DB03764,COC1=CC(OO)=CC=C1O,4-Hydroperoxy-2-Methoxy-Phenol
DB01100,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1,Pimozide
DB02431,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,Cytidine-5'-Triphosphate
DB03765,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OP(O)(O)=O,2'-cytidylic acid
DB02430,OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Trehalose-6-Phosphate
DB03766,CCC(O)=O,Propanoic acid
DB03767,[H][C@@](COCC1=CC=CC=C1)(NC(=O)[C@]([H])(CC(C)C)NC(=O)N1CCOCC1)C#N,Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide
DB01105,CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1,Sibutramine
DB02436,CCCCCNC(=O)[C@H](CC1=CC=C(OC(C(O)=O)C(O)=O)C=C1)NC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,{4-[(2S)-2-({[(1S)-1-Carboxy-2-phenylethyl]carbamoyl}amino)-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid
DB03760,[H][C@](S)(CCS)CCCCC(O)=O,Dihydrolipoic Acid
DB01104,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12,Sertraline
DB02435,[NH3+]CC1CCCCC1,Aminomethylcyclohexane
DB03761,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(F)C(=O)NC1=O,5-fluoro-2'-deoxyuridine-5'-monophosphate
DB01103,CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=C1C=CC(Cl)=C2,Quinacrine
DB02434,OC(=O)CCCC1=CC=CS1,4-(2-Thienyl)Butyric Acid
DB01102,O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1,Arbutamine
DB02433,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CN(CC(O)O)CP(O)(O)=O,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid"
DB03763,CN1C=C([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,5-methyl-2'-deoxypseudouridine
DB01109, ,Heparin
DB01108,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]23O[C@@H]2C(O)=C(C[C@]13C)C#N,Trilostane
DB01107,CCC1(CC)C(=O)NCC(C)C1=O,Methyprylon
DB02438,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(OC)C(=O)CO,3-O-Methylfructose in Linear Form
DB01106,C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@H]1CC[C@](CC1)(C#N)C1=CC=C(F)C=C1,Levocabastine
DB02437,N[C@H](CO)CCCCNC(O)=O,(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid
DB03768,CC(C)CCN(C[C@@H](O)[C@@H]1CC2=CC=C(OCCCC(=O)N[C@@H](C(C)C)C(=O)N1)C=C2)S(=O)(=O)C1=CC=CC=C1,"N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3"
DB03769,[H][C@@](O)(CN1C=NC2=C(N)N=CN=C12)[C@@]([H])(O)C(O)=O,D-Eritadenine
DB14421, ,"Influenza B virus B/Utah/9/2014 hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)"
DB15753, ,Interferon Gamma
DB14422, ,Influenza A virus A/Michigan/45/2015 X-275 (H1N1) hemagglutinin antigen (formaldehyde inactivated)
DB15752, ,Recombinant Super-Compound Interferon
DB15751, ,MRx-4DP0004
DB14420, ,"Influenza A virus A/South Australia/55/2014 (H3N2) hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)"
DB15750, ,Trefoil Factor 2
DB14425, ,Influenza A virus A/Slovenia/2903/2015 (H1N1) live (attenuated) antigen
DB15757, ,Influenza A virus A/Hong Kong/2671/2019 (H3N2) live (attenuated) antigen
DB14426, ,Influenza A virus A/New caledonia/71/2014 (H3N2) live (attenuated) antigen
DB15756, ,Influenza A virus A/Hawaii/66/2019 (H1N1) live (attenuated) antigen
DB14423, ,Influenza A virus A/Michigan/45/2015 (H1N1) recombinant hemagglutinin antigen
DB14424, ,Influenza A virus A/Hong Kong/4801/2014 X-263B (H3N2) hemagglutinin antigen (propiolactone inactivated)
DB14429, ,Neisseria meningitidis group w-135 capsular oligosaccharide diphtheria crm197 protein conjugate antigen
DB14427, ,Neisseria meningitidis group a capsular oligosaccharide diphtheria crm197 protein conjugate antigen
DB15759,CC1=NC=C(N1CCOC(=O)C1=CC=CC=C1)[N+]([O-])=O,Metronidazole benzoate
DB03770,NC(=N)NO,N-hydroxyguanidine
DB14428, ,Neisseria meningitidis group c capsular oligosaccharide diphtheria crm197 protein conjugate antigen
DB15758, ,Influenza B virus B/Washington/02/2019 live (attenuated) antigen
DB01112,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CC=CO1)C(O)=O,Cefuroxime
DB02443,[H][C@](N)(COC(=O)[C@@]([H])(N=C([O-])C1=C(OC)C=CC=C1OC)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1)C([O-])=O,Methicillin Acyl-Serine
DB03775,C[C@@H]1NC(=O)N[C@@H]1CCCCCC(O)=O,Dethiobiotin
DB01111,CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O,Colistimethate
DB02442,[H][C@](N)(C[SeH](=O)=O)C(O)=O,Dioxyselenocysteine
DB03776,[H]C(=O)[C@H](C)O,Lactaldehyde
DB01110,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Miconazole
DB02441,CCCCC1=NC2=C(N1)C(=O)NNC2=O,"2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione"
DB03777,CN(C)CCCN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CNC2=C1C=CC=C2,Bisindolylmaleimide I
DB01116,O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1,Trimethaphan
DB02447,[H]N1C(=O)N(O)C(=O)[C@]11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione"
DB03771,CN(CC=C)C\C=C\COC1=CC2=C(C=C1)C(=CO2)C1=CC=C(Br)C=C1,Allyl-{4-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-but-2-Enyl}-Methyl-Amine
DB01115,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,Nifedipine
DB02446,N[C@@H](CCC(=O)NO)C(O)=O,Glutamine hydroxamate
DB03772,[H][C@@]1(O)C[C@@]([H])(O)[C@]([H])(OCCCCCC)O[C@]1([H])CO,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol"
DB01114,CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,Chlorpheniramine
DB02445,[H][C@](N)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O,2-Deoxy-2-Amino Glucitol-6-Phosphate
DB03773,[H][C@]1(C)O[C@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,alpha-D-quinovopyranose
DB01113,COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1,Papaverine
DB03774,[NH3+][C@@H](CCC=O)C(O)=O,Glutamyl Group
DB01119,CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2,Diazoxide
DB01118,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,Amiodarone
DB02449,[H][C@@](CC1=CNC2=CC=CC=C12)(NS(=O)(=O)C1=CC=C(C=C1)N1CCC(CC1)C1=CC=CC=C1)C(O)=O,3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid
DB01117,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,Atovaquone
DB02448,CCCCCCCCCCCCC(O)=O,N-Tridecanoic Acid
DB03779,N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O,Glucosaminyl-(Alpha-6)-D-Myo-Inositol
DB13101,CN1C=C(C=N1)C1=CC=C(C=C1)S(=O)(=O)N1C=CC(\C=C\C(=O)NC2=CC=CC=C2N)=C1,4SC-202
DB14432, ,Influenza A virus A/Singapore/gp1908/2015 IVR-180 (H1N1) hemagglutinin antigen (formaldehyde inactivated)
DB15764,O=C(OCC1=CC=CC=C1)C1=CC=CN=C1,Benzyl nicotinate
DB13102,C[C@@H](C1CC1)N1CC2=CC(=CC(Cl)=C2C1=O)C1=CC(=NO1)C(=O)N(C)C,AZD-8418
DB14433, ,"Influenza A virus A/Singapore/gp1908/2015 IVR-180 (H1N1) hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)"
DB15763,[OH-].[OH-].[OH-].[Fe+3].OC[C@H]1O[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@@H](O)[C@@H]1O,Iron polymaltose
DB14430, ,Neisseria meningitidis group y capsular oligosaccharide diphtheria crm197 protein conjugate antigen
DB15762, ,Satralizumab
DB13100,NC(=N)NC(N)=N,Biguanide
DB14431, ,Influenza A virus A/Singapore/gp1908/2015 IVR-180 (H1N1) hemagglutinin antigen (propiolactone inactivated)
DB15761,[H][C@@]12CC(=O)N1[C@@H](C(=O)OCOC(=O)C(C)(C)C)C(C)(C)S2(=O)=O,Sulbactam pivoxil
DB13105,CC[C@@H](O)\C=C\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O,Resolvin E1
DB14436, ,"Influenza A virus A/Hong Kong/4801/2014 (H3N2) hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)"
DB15768, ,MEDI0680
DB13106,CCCCN1C[C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]1COC(=O)CCC,Glycovir
DB14437, ,"Influenza A virus A/Singapore/gp1908/2015 IVR-180 (H1N1) hemagglutinin antigen (UV, formaldehyde inactivated)"
DB15767, ,AMP-224
DB13103,COC1=C2C(=N)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C(=O)CO)C(O)=C3C(=O)C2=CC=C1,GPX-150
DB14434, ,"Influenza A virus A/Singapore/gp2050/2015 (H3N2) hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)"
DB15766, ,Retifanlimab
DB13104,C[C@@H](OC1=CC(=NN=C1N)C(=O)NC1=CC=C(C=C1)C(=O)N1CCN(C)CC1)C1=C(Cl)C=CC(F)=C1Cl,X-396
DB14435, ,"Influenza B virus B/Hong Kong/259/2010 hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)"
DB15765, ,Sintilimab
DB13109,O=C(NC1=CC=NC=C1)NC1=CC=C(C=C1)C1=NC(=NC(=N1)N1[C@H]2CC[C@@H]1COC2)N1CCOCC1,PKI-179
DB03780,NC1=NC2=CC=CC=C2C(=O)N1,2-Aminoquinazolin-4(3h)-One
DB13107,N[C@@H](CCS(O)(=O)=O)CSSC[C@@H](N)CCS(O)(=O)=O,QGC-001
DB14438, ,"Influenza A virus A/Hong Kong/4801/2014 X-263B (H3N2) hemagglutinin antigen (UV, formaldehyde inactivated)"
DB03781,[H][C@](C)(OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1)C(O)=O,"2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid"
DB13108,CNC(C)C(=O)C1=CC=C(C)C=C1,Mephedrone
DB14439, ,"Influenza B virus B/Brisbane/60/2008 hemagglutinin antigen (UV, formaldehyde inactivated)"
DB15769, ,Envafolimab
DB02450,[H][C@@](CC1=CC=CC=C1)(C(O)=O)[C@]([H])(CC1=CC2=C(OCO2)C=C1)C(O)=O,"2-Benzo[1,3]Dioxol-5-Ylmethyl-3-Benzyl-Succinic Acid"
DB01123,NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,Proflavine
DB02454,[H][C@@]1(CO[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]1([H])O)OP(O)(O)=O,5-(6-Amino-9h-Purin-9-Yl)-4-Hydroxytetrahydrofuran-3-Yl Dihydrogen Phosphate
DB01122,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,Ambenonium
DB02453,[H]O[Sb](O[H])O[H],Antimonous acid
DB03787,CC1=NC=C(COP(O)(O)=O)C(C\N=C2/CONC2=O)=C1O,"(5-Hydroxy-6-methyl-4-{[(E)-(3-oxo-1,2-oxazolidin-4-ylidene)amino]methyl}-3-pyridinyl)methyl dihydrogen phosphate"
DB01121,NC(=O)NC(=O)CC1=CC=CC=C1,Phenacemide
DB02452,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O,Thymidine 5'-triphosphate
DB03788,CC1=CC(OCC(O)=O)=CC(C)=C1CC1=CC=C(O)C(CC2=CC=CC=C2)=C1,GC-24
DB01120,[H][C@@]12CCC[C@]1([H])CN(C2)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,Gliclazide
DB02451,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,B-nonylglucoside
DB03789,CN1C=C[NH+]=C1C,"2,3-Dimethylimidazolium Ion"
DB01127,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Econazole
DB02458,[H][C@](N)(CCC(=O)N[C@@]([H])(CSC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(=O)NCC(O)=O)C(O)=O,"S-(2,4-dinitrophenyl)glutathione"
DB03782,NC(N)=NC1=CC=C(CNC(=O)NC23CC4CC(CC(C4)C2)C3)C=C1,N-(1-adamantyl)-N'-(4-guanidinobenzyl)urea
DB01126,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])NC(=O)C=C[C@]4(C)[C@@]3([H])CC[C@]12C)C(=O)NC1=CC(=CC=C1C(F)(F)F)C(F)(F)F,Dutasteride
DB02457,[H][P@@](=O)(CCCCCCCCCCC)OCCCC,Undecyl-Phosphinic Acid Butyl Ester
DB03783,CCOC1=CC=C(NC(C)=O)C=C1,Phenacetin
DB01125,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,Anisindione
DB02456,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,Aracytidine 5'-monophosphate
DB03784,CCCCCCCC\C=C\CCCCCCCC(N)=O,Elaidamide
DB01124,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,Tolbutamide
DB02455,[H]N(CC)C(=S)N([H])C1=CC=C(C(=C1)C(O)=O)C1=C2C=CC(=O)C=C2OC2=C1C=CC(O)=C2,Fluoresceinylthioureido
DB03785,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,Mevinolinic acid
DB01129,COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1,Rabeprazole
DB01128,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,Bicalutamide
DB02459,NC(=N)NC1=CC=C(C=C1)C(O)=O,4-guanidinobenzoic acid
DB15760,[Co++].[O-]S([O-])(=O)=O,Cobaltous sulfate
DB13112, ,Dolcanatide
DB14443, ,Vibrio cholerae CVD 103-HgR strain live antigen
DB15775,[H][C@@]12C[C@H]3O[C@](C)(O[C@@]3(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C1=CC=CC=C1,Algestone acetophenide
DB13113,CN1C=C(C=N1)C1=NN2C(C=C1)=NN=C2C(F)(F)C1=CC=C2N=CC=CC2=C1,JNJ-38877605
DB14444, ,Influenza A virus A/California/7/2009 (H1N1)-like antigen (propiolactone inactivated)
DB15774,[H][C@@]1(O[C@H]2[C@H](O)[C@@H](O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@]([H])(O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C/C)[C@H](OC(C)=O)[C@]6(CO)[C@H](O)C[C@@]54C)[C@@]3(C)CO)O[C@@H]2C(O)=O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,beta-Escin
DB13110, ,Antimony
DB14441, ,Influenza B virus B/Brisbane/46/2015 hemagglutinin antigen (propiolactone inactivated)
DB15773, ,anti-OX40 antibody BMS 986178
DB13111,CC1=C(O)C(C)=C2CCC(C)(C)OC2=C1C,Chromanol
DB14442, ,Influenza B virus B/Phuket/3073/2013 BVR-1B hemagglutinin antigen (propiolactone inactivated)
DB15772, ,CA-170
DB13116,FCC(F)(F)F,Norflurane
DB14447, ,Influenza A virus A/Uruguay/716/2007(H3N2) live (attenuated) antigen
DB15779,CC1=CC(C)=C(Br)C(C)=C1NC(=O)CN(CC(O)=O)CC(O)=O,Mebrofenin
DB13117,FC(F)CC(F)(F)F,Pentafluoropropane
DB15778, ,Hydrogen iodide
DB13114,CN(C)(=O)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,Amitriptylinoxide
DB14445, ,Influenza A virus A/Victoria/210/2009 X-187 (H3N2) antigen (formaldehyde inactivated)
