target,drug,label
Q8N1Q1,DB00606,1
Q8NER1,DB11883,1
P15144,DB08759,0
P16152,DB04216,1
Q8NET8,DB09061,1
Q92769,DB01262,1
O15399,DB06151,1
Q13547,DB12847,1
Q9H2P9,DB06838,0
Q05940,DB04821,1
P99999,DB03317,1
P03915,DB00816,0
P01556,DB03622,0
Q9HBG4,DB15021,0
Q9BRS2,DB08121,0
P35372,DB00611,1
P94692,DB12668,0
Q09428,DB06403,0
Q5SHN3,DB14993,0
P04818,DB01768,0
P0AB80,DB03993,1
P51956,DB12010,1
P0DJ06,DB03241,1
Q840M4,DB16704,1
O14556,DB02205,1
P47869,DB00842,1
Q09470,DB00228,1
Q9UBN7,DB03933,0
P07254,DB05022,0
P95468,DB15187,0
Q8NFA2,DB07441,0
P00568,DB01756,0
P47712,DB01103,1
P15474,DB02801,1
Q09013,DB17472,0
P28161,DB01186,0
P04278,DB04429,1
Q96PR1,DB06258,0
Q83QN9,DB19177,0
P34998,DB06402,1
P24300,DB06213,0
P24228,DB09050,1
O60931,DB11893,0
P12429,DB13421,0
O14684,DB04503,0
Q9X1F0,DB13063,0
P43985,DB06714,0
P35498,DB07335,0
Q9Y2I1,DB00697,1
P30556,DB01029,1
P11226,DB01818,1
O95749,DB08529,1
Q7RTT9,DB07294,0
O00591,DB01236,1
Q16222,DB08676,0
Q6FHJ7,DB04092,0
Q9Y271,DB08855,1
P59846,DB06334,0
Q24940,DB07757,0
P11411,DB02691,0
P13650,DB04967,0
P30530,DB00361,0
P52429,DB14001,1
P0A6I0,DB00496,0
Q8N5Z0,DB08240,0
Q9BXA7,DB12874,0
P24298,DB00114,1
P43155,DB00908,0
O00264,DB01104,1
Q92731,DB13952,1
P37231,DB19023,1
O94788,DB00755,1
P23297,DB00208,0
O14874,DB06853,0
P41231,DB05806,0
P35367,DB00967,1
P30101,DB14533,1
P35354,DB01250,1
P05129,DB02010,1
P36543,DB14086,0
Q96DB2,DB01511,0
P08908,DB09061,1
P21905,DB12348,0
A0A0H2Z368,DB07118,1
Q8TCC7,DB01241,1
P68400,DB04720,1
Q746L7,DB02572,0
P29275,DB17046,0
Q13526,DB08503,0
O15342,DB03539,0
P28845,DB07310,1
P22309,DB08244,0
P04150,DB00288,1
P12277,DB07612,0
P11350,DB02547,0
Q9Y6I3,DB03316,1
P42768,DB15460,0
P22303,DB00944,1
P48764,DB02566,0
Q9NS86,DB05812,0
P0A6Q5,DB07562,0
Q13464,DB08756,1
P14780,DB04566,0
P20813,DB09158,0
O60266,DB07377,0
P26221,DB07710,0
P45452,DB13020,1
Q13547,DB11830,1
P32238,DB18298,0
P11226,DB04426,1
P20618,DB04249,0
P35556,DB11093,1
P50897,DB01415,0
Q99436,DB08515,1
P09373,DB01992,1
P49759,DB01815,0
Q00653,DB12816,1
P21340,DB03863,0
P49189,DB04397,0
P75914,DB14813,0
Q16322,DB08109,0
Q9NPD5,DB06750,1
P31415,DB04284,0
P26221,DB16884,0
P11387,DB05630,1
P16930,DB00006,0
P49841,DB07584,1
Q672W7,DB08754,1
P35498,DB04483,0
P78536,DB06943,1
P50993,DB00390,1
P47898,DB13520,1
Q89ZI2,DB00696,0
P31644,DB14719,1
P05556,DB00285,0
Q9NWT6,DB08263,1
O00142,DB12381,0
Q9UG56,DB04188,0
Q08188,DB08208,0
P25101,DB12054,1
P0AEK4,DB02379,1
Q96S86,DB06894,0
P10635,DB11994,1
Q9JZW6,DB02060,0
Q16665,DB16055,1
P77173,DB07825,0
O00555,DB12541,0
P19875,DB12154,0
Q13131,DB04462,1
P81605,DB14487,1
Q9Y663,DB03959,1
P21917,DB00334,1
P11802,DB06841,0
P31644,DB02306,0
P54716,DB03851,0
P10745,DB12789,0
P34896,DB02067,1
P10275,DB16244,1
P08183,DB01952,0
P00734,DB01725,1
P16113,DB13009,0
Q8N1C3,DB00231,1
O15269,DB03100,0
Q46893,DB01151,0
P17291,DB03915,0
Q06187,DB00698,0
P47870,DB01558,1
Q12879,DB01708,1
P50135,DB07106,1
Q840M4,DB09060,1
P10696,DB11987,0
Q16790,DB07050,1
P61713,DB15169,0
P28223,DB19083,1
A0A0H3K1U2,DB02039,1
Q02641,DB01118,1
Q8P9V9,DB05035,0
P35219,DB05790,0
P15770,DB06989,0
Q8RQP5,DB00298,0
P34903,DB09017,1
O15146,DB01750,0
O15427,DB15598,0
P51813,DB03755,0
P00861,DB03814,1
P47869,DB01594,1
P0A6C8,DB01005,0
P23297,DB07255,0
Q75N90,DB14481,1
Q9Y6F1,DB08058,1
P25440,DB16404,0
P13569,DB11712,1
P07900,DB04938,0
O60603,DB08883,0
P11216,DB01236,0
Q05469,DB11912,0
P28223,DB06512,1
Q16658,DB03369,0
Q9Y5N1,DB12806,1
Q6QNK2,DB00297,0
P01619,DB04866,0
P50416,DB05416,0
O75899,DB01440,1
Q8VUS7,DB04410,0
Q8N1C3,DB09017,1
P01042,DB07427,0
P14679,DB16865,1
P9WNX3,DB08220,0
P14416,DB00508,1
Q00975,DB09232,1
O75838,DB16112,0
P41595,DB01392,1
P08172,DB00454,1
P35243,DB08234,0
Q8IVL5,DB00172,1
Q08499,DB01791,1
O15269,DB00133,1
P0A0K8,DB03784,0
P05067,DB09148,1
Q02809,DB00126,1
P0AB74,DB07223,0
P13569,DB07313,0
P35367,DB06691,1
P51449,DB02197,0
Q9UBN1,DB11148,1
P81180,DB08765,0
P60355,DB00454,0
Q8TCU5,DB06151,1
Q14012,DB07148,0
O14792,DB02482,0
P15692,DB13800,0
P35228,DB02335,1
P00959,DB07708,0
Q02750,DB07101,1
Q5SL87,DB11348,0
Q9UKE5,DB12010,1
Q9Y691,DB00721,1
Q9KKU4,DB14774,0
P0AG59,DB09093,1
P35218,DB05407,0
O60674,DB13040,1
P48169,DB01351,1
Q9ULX7,DB00562,1
Q72LA5,DB12011,0
O95136,DB02724,0
Q99437,DB12183,0
P11217,DB03479,1
Q9Y3R4,DB07960,1
P05041,DB07515,0
Q9I596,DB09050,0
P08200,DB01727,1
Q9NUB1,DB15493,0
P08173,DB11235,1
Q7SIG1,DB06971,0
P06401,DB00648,1
Q12809,DB00661,1
Q06033,DB11651,0
P25787,DB04039,0
P40763,DB12116,1
P00491,DB03952,0
Q86U10,DB02358,0
P14410,DB01944,0
P31946,DB12695,1
Q9H228,DB11819,1
Q12882,DB00862,0
P04629,DB16826,1
Q12965,DB02236,0
P35089,DB04331,0
A5HEI4,DB08265,0
P09211,DB01915,1
Q9UM73,DB09063,1
P18251,DB14001,0
Q96CA5,DB12512,0
Q83QN9,DB02191,1
P37059,DB00223,0
Q8NER1,DB00159,1
P00947,DB01169,0
P17612,DB08162,1
P14923,DB12518,0
Q8N1C3,DB00186,1
P18507,DB00628,1
P0A805,DB02569,0
P49841,DB07585,1
P14867,DB13643,1
P08908,DB01224,1
P30825,DB00123,1
P0AG82,DB02831,1
P17568,DB00913,0
P84147,DB07898,1
P00326,DB03061,1
Q9ULU8,DB13766,0
P21728,DB00246,1
Q9X108,DB01466,0
P19793,DB00755,1
Q9KWT5,DB03652,1
P0AD68,DB09050,1
P35968,DB17191,1
Q9WYV8,DB00753,0
Q8TCU5,DB01043,1
Q00169,DB03640,0
P07098,DB02457,1
P05156,DB00805,0
P35367,DB05381,1
P0AA43,DB06869,0
P18031,DB03714,1
P15636,DB13967,0
P11511,DB16236,1
P06732,DB09065,0
P0AD65,DB07198,0
P24182,DB08315,1
Q13393,DB03459,0
P35462,DB07841,0
Q4KH25,DB04147,1
P12931,DB08564,1
P49674,DB02334,0
P20309,DB00246,1
P11086,DB03824,1
P08588,DB11785,1
Q13219,DB11973,0
P43235,DB07967,1
P08246,DB04539,0
Q02641,DB00228,1
P52429,DB08097,0
Q13523,DB02084,0
Q15637,DB12378,0
Q70I53,DB00416,0
P10613,DB08933,1
Q701N4,DB16767,0
P28720,DB02599,1
O14764,DB00228,1
Q02127,DB08169,1
P29274,DB00806,1
Q09428,DB08020,0
P9WHE9,DB03973,1
Q05586,DB06151,1
P36673,DB02430,1
P27708,DB08864,0
P20586,DB03147,1
Q7BJM5,DB08161,1
O14832,DB08903,0
P18031,DB08371,1
P0DP24,DB08231,1
P0A8Q0,DB19033,0
Q75UV1,DB04331,0
P20292,DB02973,0
Q5G940,DB02603,0
Q01344,DB01822,0
P06737,DB07396,1
P62508,DB04169,0
P54455,DB03852,0
Q06700,DB11662,0
O43283,DB00532,0
P31645,DB01577,1
P00282,DB06968,1
P48443,DB02746,1
P05108,DB02259,0
Q82ZJ0,DB07388,0
Q9NZ42,DB12463,1
P14927,DB06625,0
P0AD65,DB01000,1
O14717,DB01752,1
Q5SHZ4,DB04272,0
Q5RT80,DB02630,0
P25100,DB00248,1
P47870,DB00794,1
P42216,DB07067,0
O14764,DB00349,1
Q86VZ1,DB06678,0
Q13946,DB07954,1
P00846,DB01425,0
O43525,DB01069,1
P08173,DB19325,1
P68871,DB13995,1
P35968,DB17061,1
P18089,DB17706,0
Q12866,DB08325,1
Q99623,DB03135,0
O95259,DB00458,1
P49327,DB07564,0
P30749,DB05992,0
Q06432,DB00528,1
P48169,DB01595,1
P32322,DB07090,0
P35367,DB01176,1
P28335,DB00875,1
Q15596,DB07678,1
P24347,DB00491,0
P11387,DB12124,1
P61587,DB17056,0
P78362,DB11656,0
O43570,DB06795,1
P23443,DB09054,0
P07451,DB00311,1
P00742,DB07261,1
Q60049,DB11960,0
Q9BVJ7,DB04235,0
P43166,DB02089,0
Q96RI1,DB16255,1
Q8TED1,DB07689,0
Q9KIE5,DB05168,0
P28476,DB01020,0
P07900,DB01038,0
P54709,DB01396,1
Q06187,DB17472,1
P31639,DB06292,1
P63261,DB02084,0
Q99928,DB09017,1
P48147,DB08738,1
P51957,DB04076,0
Q6NSD4,DB01935,0
O15399,DB04896,1
P06986,DB03997,1
P36419,DB01895,1
Q13393,DB04594,0
P20261,DB15588,0
P30613,DB01669,0
P69681,DB13106,0
P31644,DB14672,1
O00591,DB00228,1
P35408,DB16315,1
P06672,DB02700,0
P0ACB2,DB02260,1
P42216,DB12193,0
P60174,DB01912,0
O85465,DB08776,0
P06737,DB07315,1
P24941,DB03496,1
P43490,DB03704,0
P31644,DB00897,1
O07347,DB07468,0
Q45135,DB04918,0
P10768,DB08314,0
Q15843,DB17140,0
P11226,DB12099,0
Q96L21,DB04602,0
P35348,DB00298,1
Q02750,DB08004,0
P07949,DB12147,1
P08909,DB00540,1
P47869,DB13837,1
O95622,DB09237,0
P27815,DB08784,0
P10721,DB12147,1
Q9BW92,DB02365,0
P19838,DB13751,1
P32170,DB08610,0
P77444,DB13122,0
P0AC44,DB04659,0
Q92731,DB06202,1
Q00653,DB18804,1
P95780,DB02324,0
P00325,DB04378,0
P49588,DB00160,1
Q96DB2,DB02004,0
Q9WWU5,DB07217,0
Q46444,DB03205,1
P31025,DB00755,1
P41252,DB06193,0
P35557,DB02379,1
P35368,DB06207,1
P18089,DB00540,1
P13569,DB02587,1
P04406,DB03893,1
Q9HC97,DB11156,1
P40763,DB05475,1
P06986,DB00517,0
Q96RI1,DB06777,1
P0A9P4,DB00992,0
P20581,DB12955,0
P06276,DB04250,1
P08172,DB00363,1
Q47NK3,DB02054,0
P26358,DB05668,1
P37288,DB09059,1
O94925,DB12854,0
Q9UN88,DB07832,0
P35556,DB00444,0
P18357,DB03834,0
P36897,DB04480,1
P19105,DB03611,0
P30556,DB00177,1
O32449,DB03833,1
Q9UGJ0,DB14976,0
P08908,DB12478,1
P18089,DB09195,1
Q13547,DB14868,0
Q7BK04,DB04880,0
O14764,DB00683,1
Q01959,DB00245,1
P04004,DB07673,0
P30536,DB06582,1
Q82EE4,DB01155,0
P07464,DB02632,1
P51164,DB05351,1
Q9P0X4,DB01388,1
Q02054,DB04203,0
O95180,DB04263,0
P22749,DB01212,0
P08574,DB04325,0
Q99928,DB01068,1
P27348,DB08151,0
P51449,DB08906,0
Q9X266,DB04646,0
Q9NS40,DB00321,1
Q9BY41,DB06176,1
Q6NXR0,DB01098,0
P23219,DB08951,1
Q96EN8,DB00114,1
P13551,DB03546,0
Q9BXJ7,DB00165,0
Q99640,DB12010,1
P16152,DB02709,1
P43457,DB01820,0
P02585,DB04176,0
Q14697,DB03206,1
P19938,DB14890,0
O15530,DB01946,1
Q00653,DB07001,0
P42081,DB03211,0
P25100,DB00706,1
Q99928,DB12404,1
P08912,DB00940,1
P22073,DB07843,0
P11802,DB05676,1
O00444,DB16221,0
Q9Y2T6,DB06155,1
P47869,DB01205,1
P10599,DB14511,1
Q13237,DB06785,0
P01009,DB14487,1
P76270,DB18817,0
P11759,DB13138,0
O00591,DB09166,1
P07339,DB03173,0
P35968,DB11845,1
Q96FL8,DB08837,1
Q14721,DB00471,0
O14818,DB07558,1
Q88K39,DB07915,0
P28221,DB12288,1
Q92696,DB04464,1
P29034,DB06716,0
Q92506,DB00157,1
P60063,DB08804,0
P0A3M6,DB08795,1
P11177,DB08260,0
P37957,DB03586,0
P30901,DB04268,0
Q16445,DB00228,1
P30556,DB08564,0
P61160,DB08236,1
Q9KG76,DB08775,0
P0AD65,DB06211,1
P23340,DB13170,0
P08603,DB08699,0
O75185,DB02109,0
Q53464,DB16118,0
P80188,DB04043,1
Q92887,DB01138,1
P0A8Q3,DB07485,0
P49356,DB12234,1
P9WNS5,DB06813,0
Q9Z4J7,DB02776,0
P11172,DB08908,0
Q9HB40,DB00866,0
P0A0K8,DB06600,1
P31645,DB01242,1
P34903,DB01205,1
P0DMV8,DB00652,0
Q16774,DB07894,0
P26391,DB11918,0
O14939,DB01320,0
P25103,DB00193,1
P29459,DB12054,0
Q9NR19,DB12465,0
P41145,DB00704,1
P08648,DB07934,0
P05020,DB04252,1
O14556,DB14487,1
P22460,DB12237,0
P0DMV8,DB05444,1
Q8N1C3,DB00555,1
Q10588,DB06916,0
P06401,DB12637,1
P0A7D4,DB04326,0
Q9UNI1,DB02106,0
P09619,DB11741,1
P0AB87,DB06255,0
P28223,DB04829,1
Q8TF61,DB19329,0
Q51504,DB09050,1
P49841,DB14508,1
P62593,DB07464,1
P0A6Q5,DB07334,0
Q7BJM5,DB04306,0
P62837,DB04747,0
P00918,DB00606,1
P35218,DB01194,1
Q14565,DB02297,0
P14779,DB04039,0
P00558,DB07972,0
Q816R0,DB16165,0
P46828,DB02586,0
P52197,DB02082,0
O67636,DB13953,0
Q02768,DB07897,0
P04629,DB00797,0
Q9H015,DB11909,0
P20309,DB00502,1
P0A6K3,DB06448,0
O43613,DB09034,1
P08173,DB09076,1
Q92731,DB07150,1
P18031,DB02014,1
P60472,DB04714,1
Q9NUB1,DB05653,0
P29317,DB01254,1
P42345,DB04974,1
Q9HTN2,DB09039,0
P14416,DB06077,1
Q9Y6Y9,DB07036,0
P14867,DB01511,1
P35590,DB00827,0
Q9HBA0,DB09061,1
P07550,DB00925,1
P51686,DB07879,0
P34903,DB01354,1
P25021,DB07380,0
O60706,DB00171,1
P48736,DB13051,1
O75912,DB14001,1
P03952,DB02571,0
P06737,DB08844,1
P02792,DB01905,0
Q16539,DB07138,1
P17516,DB14719,0
Q07812,DB12756,1
P0AFI2,DB03107,0
P04150,DB00834,1
P9WK19,DB02909,1
Q9ULX7,DB00909,1
P30989,DB06455,1
P17676,DB09244,0
P42338,DB00201,1
O85361,DB05710,0
P08172,DB00940,1
P47869,DB01558,1
P31391,DB07993,0
P39748,DB14489,1
Q8NET8,DB00825,1
O75469,DB04466,1
P04075,DB09517,0
P29371,DB01075,0
A8MPY1,DB16754,1
Q13224,DB02655,1
P20309,DB00767,1
P06748,DB11638,1
P20674,DB01115,0
P29034,DB01248,0
P29466,DB01419,0
Q92523,DB05100,0
P05089,DB04648,1
P29474,DB02911,1
P08913,DB06623,1
Q14957,DB06738,1
P14416,DB01100,1
P29508,DB08066,0
P36888,DB17159,1
P08908,DB06538,1
P42345,DB12010,1
P06576,DB04216,1
P0A6I0,DB03403,1
Q15303,DB12267,1
O14965,DB07545,1
P55786,DB11638,1
O34450,DB12702,0
Q75WK2,DB01226,0
P62491,DB07068,0
O00591,DB00603,1
P14941,DB03461,1
Q8TCT9,DB00277,1
P31645,DB00289,1
P48736,DB18464,0
P0AE18,DB02151,1
Q9HB40,DB12161,0
Q6A8X5,DB04746,1
P47871,DB07912,0
P34932,DB06780,0
P17169,DB03518,0
P49773,DB01972,1
P10745,DB03535,0
P25789,DB14109,0
P0A333,DB08376,0
Q7Z5B4,DB00277,1
P30519,DB12804,0
P28566,DB00953,1
Q14697,DB02379,1
P16499,DB01553,0
Q9FD87,DB07070,0
P06971,DB03111,1
O87949,DB07733,0
P35499,DB04464,0
P35498,DB00243,1
P15056,DB14894,0
Q9H169,DB01558,0
Q13370,DB01427,1
O95169,DB00736,0
P17584,DB04947,0
Q13255,DB02999,1
P00749,DB03476,1
P15309,DB09304,0
P52824,DB12857,0
P16234,DB01268,1
P00811,DB07663,1
Q12879,DB00312,1
P37063,DB03147,1
P47869,DB13993,1
Q14957,DB00454,1
Q9BXA7,DB07350,0
P14210,DB03959,1
Q8NHU3,DB18213,1
P69054,DB07730,0
O95479,DB00157,1
P34998,DB12512,1
P07098,DB15294,0
Q96I59,DB11987,0
Q8WXA8,DB12570,0
Q9RUZ0,DB02637,1
P56194,DB04201,1
O15393,DB08386,0
P48169,DB13837,1
Q8TDS4,DB08226,0
P83794,DB08349,0
O95180,DB15055,1
P08173,DB11181,1
P37231,DB07842,1
Q9WYA5,DB05482,0
P31350,DB00242,1
Q9HCP0,DB08325,1
P0A006,DB04000,0
P11802,DB11730,1
P61769,DB04464,1
P00439,DB03673,1
P52687,DB03417,0
Q9P2N6,DB02470,0
Q14994,DB01708,1
P08238,DB02424,1
P49356,DB07841,1
P10478,DB03649,0
Q70KI2,DB07827,0
P24941,DB07612,1
Q56308,DB03106,0
P80380,DB07984,0
P12461,DB02256,1
P40926,DB00157,1
Q7SI98,DB03389,1
P13945,DB08744,0
Q99735,DB00143,1
Q14624,DB02510,0
P16304,DB01717,1
P16608,DB01668,0
Q8N8Y2,DB01754,0
P26951,DB19130,1
Q9NUB1,DB04444,0
Q12851,DB12010,1
P47870,DB01589,1
P0ADY7,DB00518,0
Q14289,DB12010,1
O00305,DB00421,1
Q7Z5Q5,DB02225,0
P32247,DB11724,1
Q8WYK2,DB08684,0
O14832,DB04377,0
Q14994,DB18782,0
P01303,DB03380,1
Q9X0D0,DB02142,1
P43681,DB07783,0
Q9HCP0,DB06448,0
P0A8Q3,DB07918,1
P30518,DB11734,1
P42574,DB08498,1
Q13315,DB01261,0
P08588,DB06814,1
P06010,DB07552,1
P02679,DB07702,0
P35498,DB00252,1
P94182,DB07192,0
P13716,DB04781,1
P38940,DB11736,0
P55196,DB08438,0
Q9KIE5,DB07425,0
P48065,DB18736,0
Q9ZLT0,DB08698,1
P00691,DB02120,1
Q9BVA1,DB07890,0
P04075,DB04326,1
P21802,DB01901,1
P0C278,DB03343,1
P0A9S1,DB01144,0
P25100,DB00540,1
Q9KB30,DB01616,0
P39621,DB01741,0
P49913,DB04863,0
P02766,DB07143,0
P11409,DB03366,0
P34903,DB01595,1
P51553,DB03392,0
Q6W5P4,DB03019,0
P17948,DB12064,0
P03372,DB00841,1
P0A006,DB03352,1
O75348,DB02887,0
P0AC41,DB07671,1
P07477,DB03016,1
P05305,DB00975,0
P35354,DB00533,1
P50591,DB12540,0
P83798,DB12163,0
Q9NPH2,DB00523,0
P30542,DB02282,1
P20339,DB02467,1
P35367,DB00656,1
P08319,DB01582,0
Q51792,DB07073,0
Q07785,DB14889,0
P9WIB9,DB07615,0
P01859,DB08323,1
P00147,DB11697,0
Q9ULA0,DB13107,1
P39748,DB00372,0
P31260,DB13552,0
P14416,DB09286,1
P35398,DB07996,0
P37840,DB04209,1
P48029,DB12476,0
O14746,DB14909,1
O75116,DB00969,0
Q9P0L2,DB12010,1
P69795,DB00565,0
Q53586,DB03535,0
P24666,DB01676,0
P17787,DB00333,1
Q99928,DB00897,1
Q9UP52,DB11620,0
P14416,DB01221,1
P17846,DB03405,0
P05156,DB14487,1
P11229,DB00725,1
P0A6Y5,DB03814,1
Q16478,DB05676,0
P41143,DB01221,1
P9WK17,DB03499,1
P30838,DB11737,0
P68400,DB01765,1
Q5T1J1,DB05792,1
O14965,DB12556,1
P52569,DB16039,0
Q9UIX4,DB01110,1
P02788,DB06987,1
P01579,DB01296,1
P49767,DB06461,1
Q9NPH2,DB04516,1
P30542,DB12569,1
P83787,DB07662,0
O32449,DB12273,0
P78330,DB00498,0
P08588,DB01364,1
P24941,DB07163,1
Q8DNV6,DB03679,0
P31491,DB15310,0
P14867,DB03993,0
P01850,DB01589,0
P0A8M5,DB00643,0
Q46220,DB09064,0
Q12882,DB00544,1
P07097,DB08408,1
P09238,DB06849,0
P30085,DB03435,1
Q13936,DB11148,1
O95180,DB01054,1
P11474,DB00995,1
P06653,DB01912,1
Q59643,DB11918,0
P18825,DB00696,1
O34002,DB02991,0
P31350,DB04876,0
Q9NS75,DB08855,1
P52597,DB00796,0
P22695,DB08453,1
P08870,DB06694,0
Q02809,DB03909,0
Q9NPH5,DB01962,0
P35348,DB09167,1
P11797,DB02414,1
P49238,DB12327,0
P10600,DB04930,0
P04118,DB04461,0
P00374,DB00157,1
O95644,DB19306,0
P09429,DB00608,1
O95180,DB01390,1
Q6PI48,DB00128,1
P12931,DB08192,1
P04391,DB07392,0
Q8TET4,DB14128,1
Q96BI3,DB12463,1
P21917,DB00363,1
Q01668,DB01110,1
P17812,DB04239,0
P21731,DB06739,1
Q54873,DB02186,1
P0A7X3,DB02227,0
P31644,DB11859,1
Q13639,DB12725,1
P46098,DB00246,1
Q99835,DB04277,0
P20292,DB16739,1
P28335,DB12071,1
Q71U36,DB11638,1
P07339,DB03096,1
P08758,DB09213,0
P54819,DB01717,1
P62623,DB04302,0
P0A6K3,DB06947,0
P0AEE5,DB07095,0
P42443,DB13793,0
P08912,DB09023,1
Q8N1C3,DB01588,1
Q13002,DB02750,0
P31644,DB00402,1
Q9XBQ3,DB07802,0
P31491,DB03400,0
Q07020,DB11638,1
P0AE18,DB08757,1
Q09093,DB16101,0
P21283,DB01133,1
Q14833,DB04256,0
P0A794,DB03252,0
P48067,DB05792,0
P06968,DB01742,0
P00749,DB01051,0
Q32MK0,DB04569,0
P46663,DB00178,1
Q70I53,DB03657,0
Q16566,DB00217,0
P9WQG9,DB01992,1
P20309,DB06787,1
Q13936,DB09236,1
P52732,DB08033,1
P81180,DB00924,0
P9WI73,DB13006,0
P15056,DB03967,0
P05023,DB01078,1
O75116,DB13063,0
Q9NRA0,DB01868,0
P16083,DB18950,1
P0AEZ1,DB11903,0
O75865,DB08342,1
P21673,DB07911,0
P43702,DB00487,1
P26841,DB01998,0
P27487,DB07666,1
Q13639,DB16160,0
P43681,DB01116,1
Q99928,DB09166,1
P13637,DB16690,1
P83797,DB03200,0
P00491,DB02222,1
P32745,DB06663,1
O14788,DB00584,0
Q9X266,DB04083,1
P78536,DB08572,0
Q59288,DB03879,1
P54802,DB03727,0
P08173,DB00424,1
Q9Y6T7,DB11853,0
Q969I6,DB04083,0
Q16206,DB12597,0
P06276,DB01408,1
Q9Y2Q3,DB07154,0
Q13153,DB11764,0
P24941,DB06948,1
P35372,DB11691,1
Q01693,DB12784,0
P35372,DB01548,1
P07254,DB01846,0
P23975,DB06333,1
P02533,DB02825,0
Q6L8H2,DB01247,0
P19235,DB00678,1
P0DP25,DB08039,1
Q13547,DB06603,1
P28223,DB01079,1
Q8Z2X8,DB00568,0
P09848,DB15096,0
Q13547,DB18954,0
Q8N8R3,DB08750,0
P40763,DB05513,1
P43700,DB06771,1
Q9I7A8,DB16884,0
P51553,DB03949,0
Q9UNP4,DB04339,1
P00811,DB07825,1
P51648,DB00157,1
P78334,DB00349,1
P51582,DB04005,1
Q02153,DB16700,1
P12931,DB01908,1
P41595,DB13520,1
Q54AI1,DB14146,0
P08173,DB00363,1
Q56232,DB06919,0
P18089,DB01175,1
P11388,DB01179,1
Q07869,DB13873,1
P28223,DB04908,1
P38516,DB06444,0
O07732,DB02420,0
P21918,DB11274,1
P0A789,DB08196,0
P48632,DB04789,0
P28070,DB07252,0
Q01201,DB06235,1
P19652,DB01619,0
P26221,DB08448,0
P35590,DB00571,0
P11350,DB07349,1
Q9Y4H2,DB17490,1
O95819,DB06527,0
P0A793,DB01351,0
P49841,DB14509,1
P49238,DB00633,0
P28222,DB01359,1
P05093,DB12665,0
P23945,DB00536,0
P0A3D9,DB02583,0
Q4W9V8,DB04773,1
Q5SJ28,DB04087,1
Q98GN8,DB03973,0
P03372,DB07933,1
P0A7D4,DB07533,0
P24941,DB06976,1
P26514,DB03973,0
Q8N1C3,DB00241,1
P54284,DB06712,1
P46849,DB12535,0
Q06278,DB04974,0
Q6NXT6,DB06391,1
Q8WX39,DB02583,0
P14416,DB00408,1
P42684,DB15124,0
Q5SKC5,DB03445,0
P34903,DB01189,1
Q51911,DB17131,0
Q13873,DB01102,0
P54687,DB00167,1
Q92781,DB09215,0
P18825,DB06694,1
P10415,DB08895,0
Q819U0,DB12206,0
Q02818,DB11348,1
P49424,DB01112,0
Q6ZN16,DB07978,0
P34896,DB08412,0
O75116,DB12010,1
P00439,DB00737,0
P43681,DB08697,0
P31644,DB01351,1
Q70GK9,DB11757,0
